protein_id	protein_name	species_code	species_name	current_family	CPAP1_score	CPAP1_evalue	CPAP3_score	CPAP3_evalue	delta_CPAP1_minus_CPAP3	higher_score_prediction
Aae_CPR100A	CPR100A	Aae	Aedes aegypti	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aae_L000085-PA	L000085-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L004771-PA	L004771-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L008973-PA	L008973-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L008980-PA	L008980-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L008996-PA	L008996-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L009001-PA	L009001-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L014769-PA	L014769-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L015281-PA	L015281-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_PC	PC	Aae	Aedes aegypti	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aal_Cp19	Cp19	Aal	Aedes albopictus	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Ace_CPR2	CPR2	Ace	Apis cerana	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-A	CPAP1-A	Aga	Anopheles gambiae	CPAP1	157.6	5.1e-47	24.5	1.9e-06	133.1	CPAP1
Aga_CPAP1-B1	CPAP1-B1	Aga	Anopheles gambiae	CPAP1	156.7	9.1e-47	17.9	0.0002	138.8	CPAP1
Aga_CPAP1-B2	CPAP1-B2	Aga	Anopheles gambiae	CPAP1	181.7	2.2e-54	20.7	2.7e-05	161.0	CPAP1
Aga_CPAP1-C	CPAP1-C	Aga	Anopheles gambiae	CPAP1	125.1	4e-37	15.8	0.00086	109.3	CPAP1
Aga_CPAP1-F	CPAP1-F	Aga	Anopheles gambiae	CPAP1	142.9	1.5e-42	18.2	0.00017	124.7	CPAP1
Aga_CPAP1-G	CPAP1-G	Aga	Anopheles gambiae	CPAP1	108.4	5e-32	18.8	0.00011	89.6	CPAP1
Aga_CPAP1-H	CPAP1-H	Aga	Anopheles gambiae	CPAP1	97.0	1.5e-28	20.9	2.4e-05	76.1	CPAP1
Aga_CPAP1-J	CPAP1-J	Aga	Anopheles gambiae	CPAP1	154.0	6.2e-46	28.0	1.6e-07	126.0	CPAP1
Aga_CPAP1-K_iso1	CPAP1-K_iso1	Aga	Anopheles gambiae	CPAP1	119.4	2.2e-35	13.0	0.0064	106.4	CPAP1
Aga_CPAP1-K_iso2	CPAP1-K_iso2	Aga	Anopheles gambiae	CPAP1	118.4	4.4e-35	12.7	0.0075	105.7	CPAP1
Aga_CPAP1-M	CPAP1-M	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-N	CPAP1-N	Aga	Anopheles gambiae	CPAP1	77.5	1.3e-22	0.0	None	77.5	CPAP1
Aga_CPAP1-O	CPAP1-O	Aga	Anopheles gambiae	CPAP1	126.0	2.2e-37	20.4	3.5e-05	105.6	CPAP1
