#                                                                      --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name               accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#       ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Dan_CPF2                    -          CPF.aln              -            3.9e-60  200.4  92.6   2.6e-39  132.5  39.7   3.3   1   1   2   3   3   3   3 -
Dgr_CPF2                    -          CPF.aln              -            1.9e-59  198.2  85.0   5.5e-40  134.7  43.9   2.4   1   1   2   3   3   3   3 -
Dwi_CPF2                    -          CPF.aln              -            7.1e-59  196.3  79.2   9.2e-38  127.5  32.7   2.1   1   1   1   2   2   2   2 -
Dme_CG8543                  -          CPF.aln              -            4.7e-57  190.4  75.8   1.4e-38  130.1  38.0   2.0   1   1   1   2   2   2   2 -
Dme_CG8541                  -          CPF.aln              -            1.1e-55  185.9  73.4   8.2e-37  124.4  38.4   2.1   1   1   1   2   2   2   2 -
Dps_CPF3                    -          CPF.aln              -            2.5e-55  184.7  54.4   1.6e-39  133.2  32.4   2.0   1   1   1   2   2   2   2 -
Dps_CPF2                    -          CPF.aln              -              3e-55  184.5  64.1   1.5e-49  165.9  64.1   2.1   1   1   0   1   1   1   1 -
Dps_CPF1                    -          CPF.aln              -              1e-54  182.7  37.1   1.5e-54  182.2  37.1   1.2   1   0   0   1   1   1   1 -
Dan_CPF3                    -          CPF.aln              -              3e-54  181.3  56.9   3.7e-53  177.7  56.9   1.9   1   1   0   1   1   1   1 -
Dwi_CPF3                    -          CPF.aln              -            3.6e-54  181.0  57.4   8.9e-54  179.7  57.4   1.6   1   1   0   1   1   1   1 -
Dme_CG7548                  -          CPF.aln              -            6.2e-54  180.2  31.0   6.9e-54  180.1  31.0   1.0   1   0   0   1   1   1   1 -
Dmo_CPF2                    -          CPF.aln              -              7e-54  180.1  55.2   2.3e-51  171.8  55.2   2.0   1   1   0   1   1   1   1 -
Foc_CPF2                    -          CPF.aln              -            7.5e-54  179.9  58.1   4.2e-34  115.5  48.4   2.0   1   1   1   2   2   2   2 -
Dvi_CPF2                    -          CPF.aln              -              1e-53  179.5  68.9   5.6e-49  164.1  68.9   2.1   1   1   0   1   1   1   1 -
Dan_CPF1                    -          CPF.aln              -            2.1e-53  178.5  29.1   2.4e-53  178.3  29.1   1.0   1   0   0   1   1   1   1 -
Dgr_CPF3                    -          CPF.aln              -            2.3e-52  175.1  78.1   2.8e-36  122.6  36.6   2.0   1   1   1   2   2   2   2 -
Dgr_CPF1                    -          CPF.aln              -              4e-52  174.3  30.6   4.9e-52  174.0  30.6   1.0   1   0   0   1   1   1   1 -
Dmo_CPF3                    -          CPF.aln              -            1.6e-51  172.4  37.6   1.7e-51  172.2  37.6   1.0   1   0   0   1   1   1   1 -
Dmo_CPF1                    -          CPF.aln              -            3.2e-50  168.1  25.7     4e-50  167.8  25.7   1.0   1   0   0   1   1   1   1 -
Dvi_CPF1                    -          CPF.aln              -            1.9e-49  165.6  26.3   4.4e-49  164.4  26.3   1.5   1   1   0   1   1   1   1 -
Dwi_CPF1                    -          CPF.aln              -            3.3e-49  164.8  20.0   3.6e-49  164.7  20.0   1.0   1   0   0   1   1   1   1 -
Dvi_CPF3                    -          CPF.aln              -            5.9e-49  164.0  36.2   6.5e-49  163.8  36.2   1.0   1   0   0   1   1   1   1 -
Aga_CPF2                    -          CPF.aln              -            2.2e-43  145.8 121.0   1.8e-27   93.9  54.4   4.3   1   1   3   4   4   4   3 -
Aga_CPF1                    -          CPF.aln              -            9.7e-43  143.7  80.4   3.5e-39  132.1  48.4   3.3   1   1   2   3   3   3   2 -
Foc_CPF1                    -          CPF.aln              -            5.1e-42  141.4 114.8   3.3e-32  109.4  74.9   3.7   2   2   0   2   2   2   2 -
Nlu_CPF3b                   -          CPF.aln              -            7.4e-41  137.6  83.9   1.3e-38  130.3  83.9   2.2   1   1   0   1   1   1   1 -
Asi_CPF1                    -          CPF.aln              -            1.5e-39  133.4  72.1   2.6e-35  119.5  40.4   3.6   1   1   2   3   3   3   2 -
Foc_CPF3                    -          CPF.aln              -            2.9e-38  129.1  39.7   3.4e-38  128.9  39.7   1.1   1   0   0   1   1   1   1 -
Tpa_C1B-like                -          CPF.aln              -            2.9e-38  129.1  46.2   3.3e-38  128.9  46.2   1.0   1   0   0   1   1   1   1 -
Aga_CPF3                    -          CPF.aln              -            3.2e-38  129.0  12.0   2.5e-31  106.5   5.7   2.0   1   1   1   2   2   2   2 -
Nlu_CPF3a                   -          CPF.aln              -            1.5e-34  117.0  30.7   1.5e-24   84.3  19.4   2.3   1   1   1   2   2   2   2 -
Aga_CPF4                    -          CPF.aln              -            1.8e-33  113.5  45.4   2.2e-33  113.2  45.4   1.1   1   0   0   1   1   1   1 -
Tmo_LPCP-22                 -          CPF.aln              -            5.1e-33  112.0  67.0   6.5e-31  105.1  55.6   2.2   1   1   1   2   2   2   2 -
Bmo_CPF                     -          CPF.aln              -            1.2e-30  104.3  15.0   2.1e-22   77.4   9.8   2.0   1   1   1   2   2   2   2 -
Foc_CPF4                    -          CPF.aln              -            7.6e-27   91.9  21.9   1.7e-26   90.7  21.9   1.5   1   1   0   1   1   1   1 -
Bmo_CPFL3                   -          CPF.aln              -            2.2e-12   44.7  46.1   2.2e-12   44.7  46.1   3.3   1   1   2   3   3   2   2 -
Dme_Ccp84Aa                 -          CPF.aln              -            4.5e-09   33.9  42.5   1.9e-05   22.0  30.6   2.3   2   0   0   2   2   2   2 -
Bmo_CPFL4                   -          CPF.aln              -            1.2e-08   32.5 104.3   1.1e-07   29.4  53.1   3.8   1   1   1   2   2   1   1 -
Aga_CPR82                   -          CPF.aln              -            2.7e-08   31.4  50.1   3.4e-08   31.0  25.4   3.1   2   1   1   3   3   3   1 -
Dwi_CPR_Uncharacterized_112 -          CPF.aln              -            4.3e-08   30.7  69.4     8e-07   26.6  33.4   3.1   2   1   1   3   3   3   2 -
Dwi_CPR_Uncharacterized_113 -          CPF.aln              -            4.3e-08   30.7  69.4     8e-07   26.6  33.4   3.1   2   1   1   3   3   3   2 -
Aga_CPLCA2                  -          CPF.aln              -            4.8e-08   30.5  54.1     1e-07   29.5  54.2   1.5   1   1   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_62  -          CPF.aln              -            2.4e-07   28.3  98.8    0.0015   15.9  55.4   3.5   2   2   1   3   3   3   3 -
