#                                                                          --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                   accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#           ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Foc_RR-1_2                      -          CPR_combined.aln     -            1.7e-71  238.1 112.4   2.6e-16   57.6   7.5   6.1   1   1   5   6   6   6   6 -
Dma_A0A164W346                  -          CPR_combined.aln     -            1.9e-54  182.3  47.8   6.1e-16   56.4   3.5   4.1   1   1   3   4   4   4   4 -
Tmo_ACP20                       -          CPR_combined.aln     -            4.8e-52  174.5   7.7   1.8e-26   90.8   0.1   2.0   2   0   0   2   2   2   2 -
Nlu_Cpr20                       -          CPR_combined.aln     -            2.4e-48  162.4  57.8   8.9e-13   46.0   0.5   5.5   1   1   5   6   6   5   5 -
Dma_A0A0P5STA8                  -          CPR_combined.aln     -            1.8e-47  159.5  27.6     1e-16   58.9   0.0   3.0   1   1   2   3   3   3   3 -
Cpo_CPR78                       -          CPR_combined.aln     -            5.4e-43  144.9  39.9   2.7e-27   93.5   6.1   3.0   1   1   1   2   2   2   2 -
Aga_CPR78                       -          CPR_combined.aln     -            2.2e-39  133.1   0.6   2.3e-39  133.0   0.6   1.0   1   0   0   1   1   1   1 -
Aga_CPR77                       -          CPR_combined.aln     -            1.1e-37  127.6   0.5   1.1e-37  127.5   0.5   1.0   1   0   0   1   1   1   1 -
Nlu_Cpr16                       -          CPR_combined.aln     -            1.4e-37  127.2   6.6   1.5e-37  127.1   6.6   1.0   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_48      -          CPR_combined.aln     -              6e-37  125.1   1.0   6.2e-37  125.0   1.0   1.0   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_30      -          CPR_combined.aln     -            6.2e-37  125.0   0.1   6.7e-37  124.9   0.1   1.0   1   0   0   1   1   1   1 -
Bmo_CPR32                       -          CPR_combined.aln     -            7.8e-37  124.7   9.8   9.2e-37  124.5   9.8   1.0   1   0   0   1   1   1   1 -
Nlu_Cpr18                       -          CPR_combined.aln     -            1.1e-36  124.2   2.5   1.3e-36  124.0   2.5   1.0   1   0   0   1   1   1   1 -
Dme_Cpr49Aa                     -          CPR_combined.aln     -            1.2e-36  124.1   3.0   1.3e-36  124.0   3.0   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene13309-RR1            -          CPR_combined.aln     -            1.6e-36  123.7   0.9   1.7e-36  123.6   0.9   1.0   1   0   0   1   1   1   1 -
Lmi_Abd-2                       -          CPR_combined.aln     -            5.1e-36  122.1   9.6   5.5e-36  122.0   9.6   1.0   1   0   0   1   1   1   1 -
Foc_RR-1_6                      -          CPR_combined.aln     -            5.5e-36  122.0   0.5   5.8e-36  121.9   0.5   1.0   1   0   0   1   1   1   1 -
Bmo_CPR67                       -          CPR_combined.aln     -            1.1e-35  121.0  13.9   1.2e-35  120.9  13.9   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene6620-RR1             -          CPR_combined.aln     -            1.2e-35  120.8   5.4   1.3e-35  120.7   5.4   1.0   1   0   0   1   1   1   1 -
Foc_RR-1_5                      -          CPR_combined.aln     -            1.3e-35  120.7   1.6   1.4e-35  120.7   1.6   1.0   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_31      -          CPR_combined.aln     -            1.3e-35  120.7   0.4   1.5e-35  120.6   0.4   1.0   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_119     -          CPR_combined.aln     -            1.6e-35  120.5  16.2   1.7e-35  120.3  16.2   1.0   1   0   0   1   1   1   1 -
Dme_Cpr76Bc                     -          CPR_combined.aln     -            1.9e-35  120.2  20.4     1e-33  114.6  20.4   2.0   1   1   0   1   1   1   1 -
Aga_CPR75                       -          CPR_combined.aln     -            2.4e-35  119.9   0.3   2.5e-35  119.8   0.3   1.0   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_L       -          CPR_combined.aln     -            2.5e-35  119.8  14.0   2.8e-35  119.7  14.0   1.0   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_34      -          CPR_combined.aln     -            2.8e-35  119.6   2.2     3e-35  119.5   2.2   1.0   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_35      -          CPR_combined.aln     -            2.8e-35  119.6   2.2     3e-35  119.5   2.2   1.0   1   0   0   1   1   1   1 -
Lmi_ACP7                        -          CPR_combined.aln     -              3e-35  119.5  14.7   3.2e-35  119.4  14.7   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_45      -          CPR_combined.aln     -            3.1e-35  119.5  16.5   3.4e-35  119.4  16.5   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene1649-RR2             -          CPR_combined.aln     -            3.4e-35  119.4   7.2   3.9e-35  119.2   7.2   1.0   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_96      -          CPR_combined.aln     -            4.2e-35  119.1  15.1   4.7e-35  118.9  15.1   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_96      -          CPR_combined.aln     -            5.1e-35  118.8   1.2   5.5e-35  118.7   1.2   1.0   1   0   0   1   1   1   1 -
Dme_Cpr62Bc                     -          CPR_combined.aln     -              6e-35  118.6  17.7   6.7e-35  118.4  17.7   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_88      -          CPR_combined.aln     -            6.1e-35  118.5   0.4   6.9e-35  118.4   0.4   1.0   1   0   0   1   1   1   1 -
