#                                                                          --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                   accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#           ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Tmo_ACP20                       -          CPR_RR-2.aln         -              2e-69  229.1   0.0   2.5e-34  115.4   0.0   2.0   2   0   0   2   2   2   2 -
Dma_A0A0P5ZSW6                  -          CPR_RR-2.aln         -            3.6e-64  212.0 108.0   2.3e-18   63.7  11.6   5.1   2   2   3   5   5   5   5 -
Cpo_CPR78                       -          CPR_RR-2.aln         -            1.5e-58  193.8  16.2   1.8e-35  119.1   3.5   2.8   1   1   1   3   3   2   2 -
Dma_A0A164NWW6                  -          CPR_RR-2.aln         -            8.3e-52  172.0 129.7   4.6e-16   56.3   0.2   6.9   3   1   2   5   5   4   4 -
Foc_RR-1_2                      -          CPR_RR-2.aln         -            5.3e-51  169.4  56.2   2.4e-10   37.8   5.8   6.2   1   1   4   5   5   5   4 -
Dma_A0A0P5FYS6                  -          CPR_RR-2.aln         -            1.7e-45  151.6 113.1   9.3e-18   61.8  24.8   3.5   1   1   2   3   3   3   3 -
Isc_EEC11084.1                  -          CPR_RR-2.aln         -            2.8e-44  147.6  11.3   2.1e-15   54.2   2.1   3.2   2   1   1   3   3   3   3 -
Bmo_CPR67                       -          CPR_RR-2.aln         -            3.4e-43  144.1   7.5   3.8e-43  144.0   7.5   1.1   1   0   0   1   1   1   1 -
Nlu_Cpr20                       -          CPR_RR-2.aln         -            3.7e-43  144.0  36.6   9.8e-10   35.8   5.9   5.2   1   1   3   4   4   4   4 -
Cfe_Unigene13195-RR2            -          CPR_RR-2.aln         -            2.7e-42  141.2   5.2   2.9e-42  141.1   5.2   1.0   1   0   0   1   1   1   1 -
Aga_CPR6                        -          CPR_RR-2.aln         -            7.6e-42  139.8   7.6   9.3e-42  139.5   7.6   1.2   1   0   0   1   1   1   1 -
Aga_CPR1                        -          CPR_RR-2.aln         -            8.3e-42  139.6   4.6   9.4e-42  139.5   4.6   1.1   1   0   0   1   1   1   1 -
Bmo_CPR71                       -          CPR_RR-2.aln         -            9.3e-42  139.5   7.3   1.1e-41  139.3   7.3   1.1   1   0   0   1   1   1   1 -
Nlu_Cpr59                       -          CPR_RR-2.aln         -            1.3e-41  139.0   6.1   1.4e-41  138.9   6.1   1.0   1   0   0   1   1   1   1 -
Bmo_CPR150                      -          CPR_RR-2.aln         -            1.3e-41  139.0   2.1   1.7e-41  138.6   2.1   1.1   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_L       -          CPR_RR-2.aln         -            4.2e-41  137.3   8.1   4.9e-41  137.1   8.1   1.1   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_104     -          CPR_RR-2.aln         -            4.6e-41  137.2   1.8   4.8e-41  137.2   1.8   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_45      -          CPR_RR-2.aln         -            5.9e-41  136.9  10.4   7.5e-41  136.5  10.4   1.2   1   0   0   1   1   1   1 -
Lmi_ACP7                        -          CPR_RR-2.aln         -            7.4e-41  136.6   8.2   8.3e-41  136.4   8.2   1.1   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_96      -          CPR_RR-2.aln         -            8.5e-41  136.4   9.0   9.9e-41  136.2   9.0   1.1   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_98      -          CPR_RR-2.aln         -            8.9e-41  136.3   7.0   9.8e-41  136.2   7.0   1.1   1   0   0   1   1   1   1 -
Foc_RR-2_14                     -          CPR_RR-2.aln         -            9.8e-41  136.2   9.7   1.1e-40  136.0   9.7   1.1   1   0   0   1   1   1   1 -
Dme_Cpr66Ca_iso2                -          CPR_RR-2.aln         -              1e-40  136.1   2.9   1.1e-40  136.0   2.9   1.0   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_60      -          CPR_RR-2.aln         -            1.1e-40  136.1   8.7   1.2e-40  135.9   8.7   1.1   1   0   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_98      -          CPR_RR-2.aln         -            1.1e-40  136.0   9.7   1.2e-40  135.9   9.7   1.1   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_56      -          CPR_RR-2.aln         -            1.2e-40  135.9   0.3   1.3e-40  135.7   0.3   1.0   1   0   0   1   1   1   1 -
