protein_id	length	proline_percent	valine_percent	tyrosine_percent	lysine_percent	histidine_percent	glycine_percent	acidic_polar_percent_full	acidic_polar_percent_Nterm80	histidine_percent_Cterm80	PV_count	PY_count	GLWD_or_GLWE_count	H_cluster_3_in_20_count	GYH_rich_short_count	CPLCP_feature_score	CPLCP_feature_class	weird_characters
Aae_CPR100A	254	11.4	4.7	7.1	2.0	3.9	6.3	38.6	38.8	7.5	4	0	0	0	0	3	moderate_CPLCP_feature_support	
Aae_L000085-PA	159	1.9	6.3	3.8	5.0	18.2	8.2	31.4	26.2	21.2	2	0	0	5	1	3	moderate_CPLCP_feature_support	
Aae_L004771-PA	115	4.3	8.7	7.8	4.3	16.5	7.8	27.0	32.5	15.0	2	0	0	3	1	3	moderate_CPLCP_feature_support	
Aae_L008973-PA	129	2.3	9.3	8.5	8.5	14.0	8.5	27.1	21.2	12.5	0	0	0	4	0	2	weak_CPLCP_feature_support	
Aae_L008980-PA	129	2.3	8.5	8.5	7.0	14.0	8.5	26.4	20.0	12.5	0	0	0	4	0	2	weak_CPLCP_feature_support	
Aae_L008996-PA	129	1.6	9.3	9.3	6.2	14.7	8.5	28.7	23.8	12.5	0	0	0	4	0	2	weak_CPLCP_feature_support	
Aae_L009001-PA	149	4.0	10.7	4.0	10.7	18.1	4.0	25.5	21.2	15.0	0	0	0	6	0	2	weak_CPLCP_feature_support	
Aae_L014769-PA	129	2.3	9.3	9.3	8.5	12.4	8.5	28.7	23.8	12.5	0	0	0	4	0	2	weak_CPLCP_feature_support	
Aae_L015281-PA	129	2.3	8.5	8.5	7.8	14.0	8.5	26.4	20.0	12.5	0	0	0	4	0	2	weak_CPLCP_feature_support	
Aae_PC	104	3.8	16.3	6.7	4.8	1.9	10.6	33.7	30.0	2.5	0	0	0	0	0	1	weak_CPLCP_feature_support	
Aal_Cp19	104	2.9	8.7	7.7	6.7	14.4	7.7	29.8	32.5	16.2	0	0	0	3	0	3	moderate_CPLCP_feature_support	
Ace_CPR2	234	19.7	4.3	9.0	1.7	0.0	5.6	37.6	40.0	0.0	2	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPAP1-A	168	7.7	7.1	6.5	7.1	8.9	6.5	28.0	22.5	12.5	0	1	0	4	0	2	weak_CPLCP_feature_support	
Aga_CPAP1-B1	184	8.7	5.4	4.9	2.2	1.6	6.0	39.1	46.2	2.5	1	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPAP1-B2	777	12.7	7.1	5.3	5.1	3.7	5.8	35.8	38.8	3.8	10	3	0	3	0	5	strong_CPLCP_feature_support	
Aga_CPAP1-C	721	11.1	5.4	2.5	3.6	1.2	5.5	38.7	36.2	1.2	5	1	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPAP1-F	144	5.6	8.3	8.3	2.8	2.1	7.6	29.2	23.8	2.5	0	0	0	0	0	0	no_CPLCP_feature_support	
Aga_CPAP1-G	332	7.2	4.2	7.5	3.9	3.6	3.3	43.7	45.0	3.8	2	1	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPAP1-H	795	10.7	6.7	5.7	4.9	1.1	5.2	34.8	33.8	3.8	8	2	0	1	1	5	strong_CPLCP_feature_support	
Aga_CPAP1-J	174	3.4	5.2	2.3	5.2	3.4	4.6	43.1	28.8	2.5	1	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPAP1-K_iso1	562	9.3	7.1	2.5	5.2	0.9	5.7	38.1	30.0	0.0	5	1	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPAP1-K_iso2	616	8.4	6.7	2.3	5.2	1.1	6.3	37.3	30.0	0.0	5	1	0	0	0	3	moderate_CPLCP_feature_support	
Aga_CPAP1-M	315	9.5	6.0	5.7	5.1	6.7	7.3	28.9	23.8	3.8	0	1	0	2	0	2	weak_CPLCP_feature_support	
Aga_CPAP1-N	561	8.7	8.2	1.6	0.9	2.1	1.6	49.6	30.0	2.5	2	0	0	1	0	3	moderate_CPLCP_feature_support	
Aga_CPAP1-O	875	9.1	9.3	3.5	1.5	2.2	8.6	37.1	26.2	0.0	12	5	0	1	0	5	strong_CPLCP_feature_support	
Aga_CPAP3-A1b	248	8.9	5.2	4.0	4.8	1.6	6.9	35.1	31.2	2.5	1	1	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPAP3-A1c	240	7.5	5.4	4.2	7.1	1.7	6.7	35.0	30.0	2.5	1	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPAP3-B	334	9.3	5.7	3.3	6.9	0.9	5.1	35.3	31.2	1.2	4	0	0	0	0	2	weak_CPLCP_feature_support	
Aga_CPAP3-C	252	5.2	5.2	5.2	4.8	2.8	8.7	31.0	32.5	1.2	0	0	0	0	0	1	weak_CPLCP_feature_support	
Aga_CPAP3-D1	228	8.3	6.1	3.9	2.6	5.3	8.8	28.9	27.5	5.0	1	2	0	0	0	4	moderate_CPLCP_feature_support	
