protein_id	protein_name	species_code	species_name	current_family	CPR_score	CPR_evalue	CPR_confident	RR1_score	RR2_score	delta_RR1_minus_RR2	RR_classifier_prediction	RR_classifier_status	final_prediction	final_status
Aga_CPR112	CPR112	Aga	Anopheles gambiae	CPR RR-2	35.8	1.2e-09	yes	28.2	21.9	6.3	CPR RR ambiguous	ambiguous	CPR_RR_ambiguous	CPR_RR_ambiguous
Aga_CPR134	CPR134	Aga	Anopheles gambiae	CPR RR-1	37.5	3.6e-10	yes	33.7	22.0	11.7	CPR RR ambiguous	ambiguous	CPR_RR_ambiguous	CPR_RR_ambiguous
Aga_CPR144_iso1	CPR144_iso1	Aga	Anopheles gambiae	CPR	40.4	4.8e-11	yes	55.2	43.7	11.5	CPR RR ambiguous	ambiguous	CPR_RR_ambiguous	CPR_RR_ambiguous
Aga_CPR144_iso2	CPR144_iso2	Aga	Anopheles gambiae	CPR	40.5	4.5e-11	yes	55.0	44.2	10.8	CPR RR ambiguous	ambiguous	CPR_RR_ambiguous	CPR_RR_ambiguous
Aga_CPR159	CPR159	Aga	Anopheles gambiae	CPR	48.7	1.4e-13	yes	31.0	47.3	-16.3	CPR RR ambiguous	ambiguous	CPR_RR_ambiguous	CPR_RR_ambiguous
Aga_CPR161_iso2	CPR161_iso2	Aga	Anopheles gambiae	CPR	40.7	3.8e-11	yes	16.4	29.9	-13.5	CPR RR ambiguous	ambiguous	CPR_RR_ambiguous	CPR_RR_ambiguous
Aga_CPR9	CPR9	Aga	Anopheles gambiae	CPR RR-1	68.6	1.1e-19	yes	61.3	56.1	5.2	CPR RR ambiguous	ambiguous	CPR_RR_ambiguous	CPR_RR_ambiguous
Bmo_CPR147	CPR147	Bmo	Bombyx mori	CPR RR-3	62.8	6.9e-18	yes	56.7	53.9	2.8	CPR RR ambiguous	ambiguous	CPR_RR_ambiguous	CPR_RR_ambiguous
Bmo_CPR149	CPR149	Bmo	Bombyx mori	CPR RR-1	43.4	5.8e-12	yes	36.7	26.8	9.9	CPR RR ambiguous	ambiguous	CPR_RR_ambiguous	CPR_RR_ambiguous
Bmo_CPR47	CPR47	Bmo	Bombyx mori	CPR RR-1	50.1	5e-14	yes	51.3	37.6	13.7	CPR RR ambiguous	ambiguous	CPR_RR_ambiguous	CPR_RR_ambiguous
