protein_id	protein_name	species_code	species_name	current_family	CPR_score	CPR_evalue	CPR_confident	RR1_score	RR2_score	delta_RR1_minus_RR2	RR_classifier_prediction	RR_classifier_status	final_prediction	final_status
Aga_CPR151	CPR151	Aga	Anopheles gambiae	CPR	84.3	1.7e-24	yes	128.2	33.6	94.6	CPR RR-1	subclassified_from_CPR	CPR RR-1	subclassified_from_CPR
Aga_CPR158	CPR158	Aga	Anopheles gambiae	CPR	103.3	2.7e-30	yes	44.2	136.5	-92.3	CPR RR-2	subclassified_from_CPR	CPR RR-2	subclassified_from_CPR
Bmo_CPR8	CPR8	Bmo	Bombyx mori	CPR	93.3	3.3e-27	yes	142.5	22.8	119.7	CPR RR-1	subclassified_from_CPR	CPR RR-1	subclassified_from_CPR
Bmo_CPR91	CPR91	Bmo	Bombyx mori	CPR	102.6	4.4e-30	yes	38.3	137.2	-98.9	CPR RR-2	subclassified_from_CPR	CPR RR-2	subclassified_from_CPR
Cfe_CL1950.Contig1-CPRNC	CL1950.Contig1-CPRNC	Cfe	Cryptolestes ferrugineus	CPR	36.8	6.1e-10	yes	41.3	0.0	41.3	CPR RR-1	subclassified_from_CPR	CPR RR-1	subclassified_from_CPR
Cfe_Unigene14141-CPRNC	Unigene14141-CPRNC	Cfe	Cryptolestes ferrugineus	CPR	30.2	6.2e-08	yes	66.1	22.8	43.3	CPR RR-1	subclassified_from_CPR	CPR RR-1	subclassified_from_CPR
Cfe_Unigene15448-CPRNC	Unigene15448-CPRNC	Cfe	Cryptolestes ferrugineus	CPR	51.6	1.8e-14	yes	22.4	62.1	-39.7	CPR RR-2	subclassified_from_CPR	CPR RR-2	subclassified_from_CPR
Cfe_Unigene25280-CPRNC	Unigene25280-CPRNC	Cfe	Cryptolestes ferrugineus	CPR	35.3	1.7e-09	yes	47.7	20.3	27.4	CPR RR-1	subclassified_from_CPR	CPR RR-1	subclassified_from_CPR
Cfe_Unigene4298-CPRNC	Unigene4298-CPRNC	Cfe	Cryptolestes ferrugineus	CPR	56.9	4.4e-16	yes	77.6	19.4	58.2	CPR RR-1	subclassified_from_CPR	CPR RR-1	subclassified_from_CPR
Cfe_Unigene9414-CPRNC	Unigene9414-CPRNC	Cfe	Cryptolestes ferrugineus	CPR	54.5	2.3e-15	yes	82.2	21.0	61.2	CPR RR-1	subclassified_from_CPR	CPR RR-1	subclassified_from_CPR
Dan_CPR_Uncharacterized_10	CPR_Uncharacterized_10	Dan	Drosophila ananassae	CPR	50.1	5.2e-14	yes	63.4	23.2	40.2	CPR RR-1	subclassified_from_CPR	CPR RR-1	subclassified_from_CPR
Dan_CPR_Uncharacterized_100	CPR_Uncharacterized_100	Dan	Drosophila ananassae	CPR	107.2	1.7e-31	yes	46.7	116.6	-69.9	CPR RR-2	subclassified_from_CPR	CPR RR-2	subclassified_from_CPR
Dan_CPR_Uncharacterized_101	CPR_Uncharacterized_101	Dan	Drosophila ananassae	CPR	109.5	3.5e-32	yes	47.8	125.0	-77.2	CPR RR-2	subclassified_from_CPR	CPR RR-2	subclassified_from_CPR
Dan_CPR_Uncharacterized_102	CPR_Uncharacterized_102	Dan	Drosophila ananassae	CPR	115.1	7e-34	yes	48.1	132.3	-84.2	CPR RR-2	subclassified_from_CPR	CPR RR-2	subclassified_from_CPR
