protein_id	protein_name	species_code	species_name	current_family	CPR_score	CPR_evalue	CPR_confident	RR1_score	RR2_score	delta_RR1_minus_RR2	RR_classifier_prediction	RR_classifier_status	final_prediction	final_status
Aga_CPR101	CPR101	Aga	Anopheles gambiae	CPR RR-1	99.3	4.5e-29	yes	42.0	124.7	-82.7	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR113	CPR113	Aga	Anopheles gambiae	CPR RR-2	62.9	6.1e-18	yes	110.7	16.9	93.8	CPR RR-1	conflict	CPR RR-1	CPR_RR_conflict_review
Aga_CPR128	CPR128	Aga	Anopheles gambiae	CPR RR-1	55.8	9.5e-16	yes	28.9	62.8	-33.9	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR136	CPR136	Aga	Anopheles gambiae	CPR RR-1	100.9	1.5e-29	yes	34.7	135.2	-100.5	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR141	CPR141	Aga	Anopheles gambiae	CPR RR-1	97.1	2.2e-28	yes	31.7	109.1	-77.4	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR145	CPR145	Aga	Anopheles gambiae	CPR RR-1	92.7	4.7e-27	yes	16.6	120.7	-104.1	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR153	CPR153	Aga	Anopheles gambiae	CPR RR-2	83.8	2.6e-24	yes	121.5	24.9	96.6	CPR RR-1	conflict	CPR RR-1	CPR_RR_conflict_review
Aga_CPR17	CPR17	Aga	Anopheles gambiae	CPR RR-1	90.2	2.7e-26	yes	21.7	127.1	-105.4	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR18	CPR18	Aga	Anopheles gambiae	CPR RR-1	91.7	9.8e-27	yes	20.3	126.8	-106.5	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR19	CPR19	Aga	Anopheles gambiae	CPR RR-1	92.1	7.2e-27	yes	22.7	127.2	-104.5	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR20	CPR20	Aga	Anopheles gambiae	CPR RR-1	92.3	6.3e-27	yes	24.7	125.0	-100.3	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR34	CPR34	Aga	Anopheles gambiae	CPR RR-1	99.0	5.6e-29	yes	30.6	131.6	-101.0	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR35	CPR35	Aga	Anopheles gambiae	CPR RR-1	106.2	3.6e-31	yes	35.2	128.7	-93.5	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR36	CPR36	Aga	Anopheles gambiae	CPR RR-1	103.7	2.1e-30	yes	36.0	127.6	-91.6	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR37	CPR37	Aga	Anopheles gambiae	CPR RR-1	97.7	1.5e-28	yes	30.6	123.7	-93.1	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR38	CPR38	Aga	Anopheles gambiae	CPR RR-1	101.3	1.1e-29	yes	35.4	127.5	-92.1	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR39	CPR39	Aga	Anopheles gambiae	CPR RR-1	107.0	2e-31	yes	37.8	129.7	-91.9	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR40	CPR40	Aga	Anopheles gambiae	CPR RR-1	104.6	1.1e-30	yes	34.7	127.5	-92.8	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR41	CPR41	Aga	Anopheles gambiae	CPR RR-1	103.4	2.7e-30	yes	33.8	125.9	-92.1	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR42	CPR42	Aga	Anopheles gambiae	CPR RR-1	103.9	1.8e-30	yes	34.8	127.1	-92.3	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR43	CPR43	Aga	Anopheles gambiae	CPR RR-1	104.6	1.1e-30	yes	34.7	127.5	-92.8	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR44	CPR44	Aga	Anopheles gambiae	CPR RR-1	104.0	1.7e-30	yes	33.9	126.8	-92.9	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR45	CPR45	Aga	Anopheles gambiae	CPR RR-1	104.6	1.1e-30	yes	34.7	127.5	-92.8	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR46	CPR46	Aga	Anopheles gambiae	CPR RR-1	104.6	1.1e-30	yes	34.7	127.5	-92.8	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR47	CPR47	Aga	Anopheles gambiae	CPR RR-1	99.6	3.8e-29	yes	30.3	137.7	-107.4	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR48	CPR48	Aga	Anopheles gambiae	CPR RR-1	96.4	3.6e-28	yes	30.5	128.8	-98.3	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR49	CPR49	Aga	Anopheles gambiae	CPR RR-1	100.8	1.6e-29	yes	36.3	134.9	-98.6	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR50	CPR50	Aga	Anopheles gambiae	CPR RR-1	100.8	1.6e-29	yes	34.2	135.2	-101.0	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR51	CPR51	Aga	Anopheles gambiae	CPR RR-1	101.1	1.3e-29	yes	34.9	135.2	-100.3	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR52	CPR52	Aga	Anopheles gambiae	CPR RR-1	96.5	3.3e-28	yes	30.5	128.7	-98.2	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR53	CPR53	Aga	Anopheles gambiae	CPR RR-1	100.0	2.9e-29	yes	34.3	134.8	-100.5	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR54	CPR54	Aga	Anopheles gambiae	CPR RR-1	100.2	2.5e-29	yes	34.5	134.8	-100.3	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR55	CPR55	Aga	Anopheles gambiae	CPR RR-1	100.7	1.7e-29	yes	39.1	131.4	-92.3	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR56	CPR56	Aga	Anopheles gambiae	CPR RR-1	78.1	1.4e-22	yes	34.8	104.5	-69.7	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR57	CPR57	Aga	Anopheles gambiae	CPR RR-1	85.6	7.3e-25	yes	30.0	110.7	-80.7	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR60	CPR60	Aga	Anopheles gambiae	CPR RR-1	107.5	1.4e-31	yes	39.6	141.8	-102.2	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR63	CPR63	Aga	Anopheles gambiae	CPR RR-1	82.9	4.8e-24	yes	19.8	116.6	-96.8	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR64	CPR64	Aga	Anopheles gambiae	CPR RR-1	93.3	3.1e-27	yes	39.9	124.9	-85.0	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR65	CPR65	Aga	Anopheles gambiae	CPR RR-1	94.9	1e-27	yes	18.3	123.3	-105.0	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR66	CPR66	Aga	Anopheles gambiae	CPR RR-1	95.7	5.7e-28	yes	26.2	124.6	-98.4	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
Aga_CPR67	CPR67	Aga	Anopheles gambiae	CPR RR-1	62.8	6.8e-18	yes	15.4	98.9	-83.5	CPR RR-2	conflict	CPR RR-2	CPR_RR_conflict_review
