#                                                                      --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name               accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#       ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Aga_CPLCG20                 -          CPLCG.aln            -            5.9e-57  189.8 124.5     3e-27   93.5  39.9   4.9   2   2   2   4   4   4   4 -
Dme_ACP1                    -          CPLCG.aln            -            8.3e-38  127.7  35.3   9.2e-38  127.6  35.3   1.0   1   0   0   1   1   1   1 -
Dme_CG7203                  -          CPLCG.aln            -            1.8e-37  126.6  30.7   2.1e-37  126.4  30.7   1.0   1   0   0   1   1   1   1 -
Dme_CG7214                  -          CPLCG.aln            -              6e-36  121.7  23.1   6.8e-36  121.5  23.1   1.0   1   0   0   1   1   1   1 -
Dgr_CPLCG3                  -          CPLCG.aln            -            1.9e-35  120.0  31.7   2.1e-35  119.9  31.7   1.0   1   0   0   1   1   1   1 -
Dvi_CPLCG3                  -          CPLCG.aln            -            2.5e-35  119.7  29.2   2.7e-35  119.6  29.2   1.0   1   0   0   1   1   1   1 -
Dan_CPLCG2                  -          CPLCG.aln            -            4.3e-35  118.9  23.3   4.8e-35  118.7  23.3   1.0   1   0   0   1   1   1   1 -
Aga_CPLCG14                 -          CPLCG.aln            -            7.6e-35  118.1  32.2   8.7e-35  117.9  32.2   1.0   1   0   0   1   1   1   1 -
Dps_CPLCG2                  -          CPLCG.aln            -            1.2e-34  117.4  19.9   1.4e-34  117.3  19.9   1.0   1   0   0   1   1   1   1 -
Dvi_CPLCG2                  -          CPLCG.aln            -            1.8e-34  116.9  22.6     2e-34  116.8  22.6   1.0   1   0   0   1   1   1   1 -
Dan_CPLCG3                  -          CPLCG.aln            -            3.4e-34  116.0  37.6   3.8e-34  115.9  37.6   1.0   1   0   0   1   1   1   1 -
Dps_CPLCG3                  -          CPLCG.aln            -            5.8e-34  115.2  33.8   6.6e-34  115.1  33.8   1.0   1   0   0   1   1   1   1 -
Dwi_CPLCG3                  -          CPLCG.aln            -            7.9e-34  114.8  35.6   8.7e-34  114.7  35.6   1.0   1   0   0   1   1   1   1 -
Aga_CPLCG12                 -          CPLCG.aln            -            2.7e-33  113.1  40.9   6.1e-33  111.9  40.9   1.5   1   1   0   1   1   1   1 -
Aga_CPLCG10                 -          CPLCG.aln            -            4.2e-33  112.5  42.2   9.3e-33  111.3  42.2   1.5   1   1   0   1   1   1   1 -
Dmo_CPLCG2                  -          CPLCG.aln            -            4.5e-33  112.4  20.8     5e-33  112.2  20.8   1.0   1   0   0   1   1   1   1 -
Aga_CPLCG7                  -          CPLCG.aln            -            5.4e-33  112.1  43.1   1.2e-32  111.0  43.1   1.5   1   1   0   1   1   1   1 -
Dvi_CPLCG1                  -          CPLCG.aln            -            4.3e-32  109.2  38.8   4.7e-32  109.0  38.8   1.0   1   0   0   1   1   1   1 -
Aga_CPLCG21                 -          CPLCG.aln            -            5.7e-32  108.8  14.5   1.5e-18   65.3   3.5   2.1   2   0   0   2   2   2   2 -
Dgr_CPLCG2                  -          CPLCG.aln            -            7.1e-32  108.5  23.5   8.5e-32  108.2  23.5   1.1   1   0   0   1   1   1   1 -
Dmo_CPLCG3                  -          CPLCG.aln            -            7.2e-32  108.5  27.0   8.9e-32  108.2  27.0   1.1   1   0   0   1   1   1   1 -
Aga_CPLCG23                 -          CPLCG.aln            -            7.7e-32  108.4  21.1   8.6e-32  108.2  21.1   1.0   1   0   0   1   1   1   1 -
Aga_CPLCG16                 -          CPLCG.aln            -              9e-32  108.1  50.8   5.3e-30  102.4  50.8   2.0   1   1   0   1   1   1   1 -
Dmo_CPLCG1                  -          CPLCG.aln            -            9.8e-32  108.0  33.4   1.1e-31  107.9  33.4   1.0   1   0   0   1   1   1   1 -
Dgr_CPLCG1                  -          CPLCG.aln            -            2.7e-31  106.6  36.3     3e-31  106.5  36.3   1.0   1   0   0   1   1   1   1 -
