protein_id	protein_name	species_code	species_name	current_family	CPG_score	CPG_evalue	CPH_score	CPH_evalue	delta_CPG_minus_CPH	higher_score_prediction	CPG_feature_score	CPG_feature_class	CPH_feature_score	CPH_feature_class	glycine_percent	alanine_percent	proline_percent	tyrosine_percent	valine_percent	histidine_percent	GGX_count	GGXGG_count	GGYGG_count	GGG_or_more_count	GY_or_YG_count	GH_or_HG_count	AAP_count	AAPA_or_AAPV_count	AP_or_PA_count	PV_or_PY_count	status	review_note
Aae_CPR100A	CPR100A	Aae	Aedes aegypti	CPR RR-1	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	5	strong_CPH_feature_support	6.3	11.0	11.4	7.1	4.7	3.9	0	0	0	0	2	0	3	1	11	4	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aae_L000085-PA	L000085-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	1	weak_CPH_feature_support	8.2	7.5	1.9	3.8	6.3	18.2	2	0	0	0	4	5	0	0	0	2	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aae_L004771-PA	L004771-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	2	weak_CPH_feature_support	7.8	8.7	4.3	7.8	8.7	16.5	0	0	0	0	2	3	0	0	2	2	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aae_L008973-PA	L008973-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	2	weak_CPH_feature_support	8.5	3.9	2.3	8.5	9.3	14.0	1	0	0	0	3	3	0	0	0	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aae_L008980-PA	L008980-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	2	weak_CPH_feature_support	8.5	6.2	2.3	8.5	8.5	14.0	1	0	0	0	3	3	0	0	0	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aae_L008996-PA	L008996-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	2	weak_CPH_feature_support	8.5	5.4	1.6	9.3	9.3	14.7	0	0	0	0	3	4	0	0	0	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aae_L009001-PA	L009001-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	2	weak_CPH_feature_support	4.0	7.4	4.0	4.0	10.7	18.1	0	0	0	0	1	1	0	0	0	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aae_L014769-PA	L014769-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	2	weak_CPH_feature_support	8.5	4.7	2.3	9.3	9.3	12.4	1	0	0	0	3	3	0	0	0	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aae_L015281-PA	L015281-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	2	weak_CPH_feature_support	8.5	6.2	2.3	8.5	8.5	14.0	1	0	0	0	3	3	0	0	0	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aae_PC	PC	Aae	Aedes aegypti	CPR RR-2	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	2	weak_CPH_feature_support	10.6	7.7	3.8	6.7	16.3	1.9	0	0	0	0	1	0	0	0	0	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aal_Cp19	Cp19	Aal	Aedes albopictus	CPR RR-2	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	2	weak_CPH_feature_support	7.7	6.7	2.9	7.7	8.7	14.4	0	0	0	0	1	3	0	0	0	0	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Ace_CPR2	CPR2	Ace	Apis cerana	CPR RR-1	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	2	weak_CPH_feature_support	5.6	5.6	19.7	9.0	4.3	0.0	0	0	0	0	2	0	0	0	2	2	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP1-A	CPAP1-A	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	2	weak_CPH_feature_support	6.5	6.5	7.7	6.5	7.1	8.9	0	0	0	0	1	1	0	0	3	1	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP1-B1	CPAP1-B1	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	2	weak_CPH_feature_support	6.0	3.8	8.7	4.9	5.4	1.6	0	0	0	0	0	1	0	0	1	2	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP1-B2	CPAP1-B2	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	1	weak_CPG_feature_support	5	strong_CPH_feature_support	5.8	5.9	12.7	5.3	7.1	3.7	5	0	0	0	0	6	2	1	15	13	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
Aga_CPAP1-C	CPAP1-C	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit	0	no_CPG_feature_support	4	moderate_CPH_feature_support	5.5	8.6	11.1	2.5	5.4	1.2	2	0	0	0	2	1	1	0	14	6	no_confident_CPG_CPH_signal	no_confident_CPG_CPH_signal
