protein_id	protein_name	species_code	species_name	current_family	CPR_score	CPR_evalue	CPR_confident	RR1_score	RR2_score	delta_RR1_minus_RR2	RR_classifier_prediction	RR_classifier_status	final_prediction	final_status
Aae_CPR100A	CPR100A	Aae	Aedes aegypti	CPR RR-1	64.0	2.8e-18	yes	102.1	18.6	83.5	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aae_L000085-PA	L000085-PA	Aae	Aedes aegypti	NULL	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aae_L004771-PA	L004771-PA	Aae	Aedes aegypti	NULL	68.0	1.8e-19	yes	28.2	96.6	-68.4	CPR RR-2	other_family_with_RR_hit	CPR RR-2	new_CPR_like_candidate
Aae_L008973-PA	L008973-PA	Aae	Aedes aegypti	NULL	85.8	6.3e-25	yes	38.6	117.2	-78.6	CPR RR-2	other_family_with_RR_hit	CPR RR-2	new_CPR_like_candidate
Aae_L008980-PA	L008980-PA	Aae	Aedes aegypti	NULL	85.0	1.1e-24	yes	41.5	114.6	-73.1	CPR RR-2	other_family_with_RR_hit	CPR RR-2	new_CPR_like_candidate
Aae_L008996-PA	L008996-PA	Aae	Aedes aegypti	NULL	82.4	6.9e-24	yes	37.5	114.2	-76.7	CPR RR-2	other_family_with_RR_hit	CPR RR-2	new_CPR_like_candidate
Aae_L009001-PA	L009001-PA	Aae	Aedes aegypti	NULL	100.3	2.3e-29	yes	36.8	127.0	-90.2	CPR RR-2	other_family_with_RR_hit	CPR RR-2	new_CPR_like_candidate
Aae_L014769-PA	L014769-PA	Aae	Aedes aegypti	NULL	84.7	1.3e-24	yes	38.2	116.0	-77.8	CPR RR-2	other_family_with_RR_hit	CPR RR-2	new_CPR_like_candidate
Aae_L015281-PA	L015281-PA	Aae	Aedes aegypti	NULL	87.6	1.8e-25	yes	43.2	116.7	-73.5	CPR RR-2	other_family_with_RR_hit	CPR RR-2	new_CPR_like_candidate
Aae_PC	PC	Aae	Aedes aegypti	CPR RR-2	108.3	8.1e-32	yes	46.0	135.2	-89.2	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aal_Cp19	Cp19	Aal	Aedes albopictus	CPR RR-2	90.1	2.9e-26	yes	28.6	115.9	-87.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Ace_CPR2	CPR2	Ace	Apis cerana	CPR RR-1	51.1	2.5e-14	yes	69.3	14.0	55.3	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPAP1-A	CPAP1-A	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-B1	CPAP1-B1	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-B2	CPAP1-B2	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-C	CPAP1-C	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-F	CPAP1-F	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-G	CPAP1-G	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-H	CPAP1-H	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-J	CPAP1-J	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-K_iso1	CPAP1-K_iso1	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-K_iso2	CPAP1-K_iso2	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-M	CPAP1-M	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-N	CPAP1-N	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-O	CPAP1-O	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-A1b	CPAP3-A1b	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-A1c	CPAP3-A1c	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-B	CPAP3-B	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-C	CPAP3-C	Aga	Anopheles gambiae	NULL	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-D1	CPAP3-D1	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-D2_iso1	CPAP3-D2_iso1	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-D2_iso2	CPAP3-D2_iso2	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-E	CPAP3-E	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPF1	CPF1	Aga	Anopheles gambiae	CPF	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPF2	CPF2	Aga	Anopheles gambiae	CPF	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPF3	CPF3	Aga	Anopheles gambiae	CPF	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPF4	CPF4	Aga	Anopheles gambiae	CPF	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPFL1	CPFL1	Aga	Anopheles gambiae	CPFL	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPFL2	CPFL2	Aga	Anopheles gambiae	CPFL	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPFL3	CPFL3	Aga	Anopheles gambiae	CPFL	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPFL4	CPFL4	Aga	Anopheles gambiae	CPFL	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPFL5	CPFL5	Aga	Anopheles gambiae	CPFL	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
