#                                                                      --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name               accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#       ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Bmo_CPH14                   -          CPH.aln              -              3e-23   80.5  34.1   3.3e-23   80.4  34.1   1.0   1   0   0   1   1   1   1 -
Bmo_CPH15                   -          CPH.aln              -              1e-22   78.8  34.9   1.1e-22   78.6  34.9   1.0   1   0   0   1   1   1   1 -
Bmo_CPH9                    -          CPH.aln              -            2.8e-21   74.1  12.7   3.1e-21   74.0  12.7   1.0   1   0   0   1   1   1   1 -
Bmo_CPH28                   -          CPH.aln              -            1.2e-20   72.0  11.5   1.9e-20   71.4  11.5   1.3   1   0   0   1   1   1   1 -
Bmo_CPH2                    -          CPH.aln              -            1.1e-17   62.4  32.9   1.3e-17   62.2  32.9   1.0   1   0   0   1   1   1   1 -
Bmo_CPH10                   -          CPH.aln              -            2.7e-17   61.1  15.1   3.1e-17   60.9  15.1   1.0   1   0   0   1   1   1   1 -
Bmo_CPH11                   -          CPH.aln              -            2.5e-16   58.0  15.3   2.9e-16   57.7  15.3   1.1   1   0   0   1   1   1   1 -
Bmo_CPH16                   -          CPH.aln              -            4.8e-16   57.0  60.5   1.3e-07   29.5  34.6   2.0   1   1   1   2   2   2   2 -
Bmo_CPH8                    -          CPH.aln              -            5.1e-16   56.9  67.0   2.3e-11   41.7  40.9   3.3   1   1   1   2   2   2   2 -
Bmo_CPH7                    -          CPH.aln              -            1.4e-15   55.5  65.6   1.4e-10   39.2  42.1   2.9   1   1   1   2   2   2   2 -
Bmo_CPH39                   -          CPH.aln              -            8.5e-15   52.9  10.7   1.1e-14   52.6  10.7   1.1   1   0   0   1   1   1   1 -
Bmo_CPFL1                   -          CPH.aln              -            1.9e-14   51.8  28.0   2.4e-14   51.5  28.0   1.1   1   0   0   1   1   1   1 -
Bmo_CPH30                   -          CPH.aln              -            2.6e-14   51.3  29.2     4e-14   50.7  29.2   1.3   1   0   0   1   1   1   1 -
Bmo_CPH13                   -          CPH.aln              -            1.6e-13   48.8  29.1   2.2e-13   48.3  29.1   1.2   1   0   0   1   1   1   1 -
Bmo_CPH12                   -          CPH.aln              -            2.6e-13   48.1  28.7   3.6e-13   47.6  28.7   1.2   1   0   0   1   1   1   1 -
Bmo_CPH6                    -          CPH.aln              -            3.8e-13   47.5  30.1   5.1e-13   47.1  30.1   1.3   1   0   0   1   1   1   1 -
Bmo_CPH37                   -          CPH.aln              -            2.7e-12   44.8  31.0   3.3e-12   44.5  31.0   1.1   1   0   0   1   1   1   1 -
Bmo_CPH38                   -          CPH.aln              -              1e-11   42.9  33.0   1.3e-11   42.6  33.0   1.1   1   0   0   1   1   1   1 -
Bmo_CPH3                    -          CPH.aln              -            1.3e-10   39.3  40.9   1.3e-10   39.3  40.9   1.7   1   1   1   2   2   1   1 -
Bmo_CPH40                   -          CPH.aln              -              4e-10   37.7  23.1   4.5e-10   37.5  23.1   1.0   1   0   0   1   1   1   1 -
Bmo_CPH19                   -          CPH.aln              -            1.4e-09   35.9  20.1   1.5e-09   35.8  20.1   1.1   1   0   0   1   1   1   1 -
Tca_CP63                    -          CPH.aln              -            3.2e-09   34.7   5.5   3.5e-09   34.6   5.5   1.3   1   0   0   1   1   1   1 -
Bmo_CPH4                    -          CPH.aln              -            6.7e-09   33.7  21.4   8.2e-09   33.4  21.4   1.0   1   0   0   1   1   1   1 -
Bmo_CPH26                   -          CPH.aln              -            1.2e-08   32.8  30.1   9.7e-06   23.4  27.0   2.0   1   1   1   2   2   2   2 -
Dmo_CPR_Uncharacterized_67  -          CPH.aln              -            1.3e-08   32.7  52.3   0.00014   19.6  15.3   3.9   1   1   2   3   3   3   2 -
Cfe_CL4537.Contig1-RR1      -          CPH.aln              -              2e-08   32.1  12.7   2.8e-08   31.7  12.7   1.2   1   0   0   1   1   1   1 -
Bmo_CPH47                   -          CPH.aln              -            3.9e-08   31.2  28.7   3.5e-05   21.6  25.7   2.0   1   1   1   2   2   2   2 -
Bmo_CPH25                   -          CPH.aln              -            5.6e-08   30.7 109.3   0.00018   19.2  60.8   2.2   1   1   1   2   2   2   2 -
Dan_CPR_Uncharacterized_107 -          CPH.aln              -              6e-08   30.6  58.5   0.00018   19.2  15.3   4.2   1   1   3   4   4   4   2 -
Dvi_CPR_Uncharacterized_74  -          CPH.aln              -            7.2e-08   30.3  57.5   9.6e-05   20.1  15.2   4.0   1   1   2   3   3   3   2 -
Dmo_CPR_Uncharacterized_62  -          CPH.aln              -            7.6e-08   30.2  28.7   9.6e-08   29.9  28.7   1.2   1   0   0   1   1   1   1 -
Bmo_CPH36                   -          CPH.aln              -              9e-08   30.0  12.1   1.3e-07   29.5  12.1   1.2   1   0   0   1   1   1   1 -
Foc_CPLCP10                 -          CPH.aln              -              2e-07   28.9  26.8   3.1e-07   28.2  26.8   1.5   1   1   0   1   1   1   1 -
Aga_CPLCP1                  -          CPH.aln              -            2.1e-07   28.8  19.5     3e-07   28.3  19.5   1.3   1   1   0   1   1   1   1 -
