protein_id	length	glycine_percent	histidine_percent	alanine_percent	proline_percent	tyrosine_percent	valine_percent	lysine_percent	GGX_count	GGXGG_count	GGYGG_count	GGG_or_more_count	GY_or_YG_count	GH_or_HG_count	AAP_count	AAPA_or_AAPV_count	AP_or_PA_count	PV_or_PY_count	H_cluster_3_in_20_count	CPG_feature_score	CPG_feature_class	CPH_feature_score	CPH_feature_class	weird_characters
Aae_CPR100A	254	6.3	3.9	11.0	11.4	7.1	4.7	2.0	0	0	0	0	2	0	3	1	11	4	0	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Aae_L000085-PA	159	8.2	18.2	7.5	1.9	3.8	6.3	5.0	2	0	0	0	4	5	0	0	0	2	5	1	weak_CPG_feature_support	1	weak_CPH_feature_support	
Aae_L004771-PA	115	7.8	16.5	8.7	4.3	7.8	8.7	4.3	0	0	0	0	2	3	0	0	2	2	3	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aae_L008973-PA	129	8.5	14.0	3.9	2.3	8.5	9.3	8.5	1	0	0	0	3	3	0	0	0	0	4	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Aae_L008980-PA	129	8.5	14.0	6.2	2.3	8.5	8.5	7.0	1	0	0	0	3	3	0	0	0	0	4	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Aae_L008996-PA	129	8.5	14.7	5.4	1.6	9.3	9.3	6.2	0	0	0	0	3	4	0	0	0	0	4	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Aae_L009001-PA	149	4.0	18.1	7.4	4.0	4.0	10.7	10.7	0	0	0	0	1	1	0	0	0	0	6	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aae_L014769-PA	129	8.5	12.4	4.7	2.3	9.3	9.3	8.5	1	0	0	0	3	3	0	0	0	0	4	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Aae_L015281-PA	129	8.5	14.0	6.2	2.3	8.5	8.5	7.8	1	0	0	0	3	3	0	0	0	0	4	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Aae_PC	104	10.6	1.9	7.7	3.8	6.7	16.3	4.8	0	0	0	0	1	0	0	0	0	0	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aal_Cp19	104	7.7	14.4	6.7	2.9	7.7	8.7	6.7	0	0	0	0	1	3	0	0	0	0	3	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Ace_CPR2	234	5.6	0.0	5.6	19.7	9.0	4.3	1.7	0	0	0	0	2	0	0	0	2	2	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPAP1-A	168	6.5	8.9	6.5	7.7	6.5	7.1	7.1	0	0	0	0	1	1	0	0	3	1	4	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPAP1-B1	184	6.0	1.6	3.8	8.7	4.9	5.4	2.2	0	0	0	0	0	1	0	0	1	2	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPAP1-B2	777	5.8	3.7	5.9	12.7	5.3	7.1	5.1	5	0	0	0	0	6	2	1	15	13	3	1	weak_CPG_feature_support	5	strong_CPH_feature_support	
Aga_CPAP1-C	721	5.5	1.2	8.6	11.1	2.5	5.4	3.6	2	0	0	0	2	1	1	0	14	6	0	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPAP1-F	144	7.6	2.1	6.2	5.6	8.3	8.3	2.8	0	0	0	0	4	0	0	0	1	0	0	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPAP1-G	332	3.3	3.6	5.4	7.2	7.5	4.2	3.9	0	0	0	0	1	0	0	0	3	3	0	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPAP1-H	795	5.2	1.1	8.4	10.7	5.7	6.7	4.9	8	1	0	1	1	2	3	0	22	10	1	3	moderate_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPAP1-J	174	4.6	3.4	4.6	3.4	2.3	5.2	5.2	0	0	0	0	1	1	0	0	0	1	0	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Aga_CPAP1-K_iso1	562	5.7	0.9	9.4	9.3	2.5	7.1	5.2	4	0	0	0	2	2	0	0	11	6	0	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPAP1-K_iso2	616	6.3	1.1	9.3	8.4	2.3	6.7	5.2	5	0	0	0	2	3	0	0	11	6	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPAP1-M	315	7.3	6.7	6.3	9.5	5.7	6.0	5.1	4	0	0	0	1	2	0	0	4	1	2	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPAP1-N	561	1.6	2.1	11.9	8.7	1.6	8.2	0.9	0	0	0	0	2	0	0	0	19	2	1	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPAP1-O	875	8.6	2.2	6.3	9.1	3.5	9.3	1.5	9	1	0	3	3	3	1	0	13	17	1	4	moderate_CPG_feature_support	5	strong_CPH_feature_support	
Aga_CPAP3-A1b	248	6.9	1.6	4.4	8.9	4.0	5.2	4.8	0	0	0	0	0	0	0	0	1	2	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPAP3-A1c	240	6.7	1.7	5.8	7.5	4.2	5.4	7.1	1	0	0	0	0	0	0	0	2	1	0	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Aga_CPAP3-B	334	5.1	0.9	6.9	9.3	3.3	5.7	6.9	0	0	0	0	2	0	0	0	4	4	0	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Aga_CPAP3-C	252	8.7	2.8	10.7	5.2	5.2	5.2	4.8	1	0	0	0	3	0	0	0	2	0	0	1	weak_CPG_feature_support	1	weak_CPH_feature_support	
Aga_CPAP3-D1	228	8.8	5.3	8.3	8.3	3.9	6.1	2.6	0	0	0	0	1	2	1	0	1	3	0	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Aga_CPAP3-D2_iso1	262	10.3	2.7	3.4	7.6	5.3	4.2	3.8	5	0	0	0	2	1	0	0	1	0	0	1	weak_CPG_feature_support	1	weak_CPH_feature_support	
Aga_CPAP3-D2_iso2	251	10.8	2.8	3.6	8.0	5.2	4.4	4.0	5	0	0	0	2	1	0	0	1	0	0	1	weak_CPG_feature_support	1	weak_CPH_feature_support	
Aga_CPAP3-E	218	7.3	0.9	8.7	8.3	5.0	6.4	3.2	1	0	0	0	1	0	0	0	2	2	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Aga_CPF1	238	1.7	6.3	27.3	7.1	8.4	10.5	3.8	0	0	0	0	1	1	12	10	15	5	4	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Aga_CPF2	295	0.7	7.8	29.2	8.1	9.8	10.2	3.1	0	0	0	0	1	0	18	16	21	5	4	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Aga_CPF3	137	8.0	3.6	17.5	7.3	8.8	7.3	2.2	0	0	0	0	3	2	2	2	5	1	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
