protein_id	protein_name	species_code	species_name	current_family	CPG_score	CPG_evalue	CPH_score	CPH_evalue	delta_CPG_minus_CPH	higher_score_prediction
Aae_CPR100A	CPR100A	Aae	Aedes aegypti	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aae_L000085-PA	L000085-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L004771-PA	L004771-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L008973-PA	L008973-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L008980-PA	L008980-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L008996-PA	L008996-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L009001-PA	L009001-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L014769-PA	L014769-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L015281-PA	L015281-PA	Aae	Aedes aegypti	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_PC	PC	Aae	Aedes aegypti	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Aal_Cp19	Cp19	Aal	Aedes albopictus	CPR RR-2	0.0	None	0.0	None	0.0	no_hit
Ace_CPR2	CPR2	Ace	Apis cerana	CPR RR-1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-A	CPAP1-A	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-B1	CPAP1-B1	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-B2	CPAP1-B2	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-C	CPAP1-C	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-F	CPAP1-F	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-G	CPAP1-G	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-H	CPAP1-H	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-J	CPAP1-J	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-K_iso1	CPAP1-K_iso1	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-K_iso2	CPAP1-K_iso2	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-M	CPAP1-M	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-N	CPAP1-N	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-O	CPAP1-O	Aga	Anopheles gambiae	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP3-A1b	CPAP3-A1b	Aga	Anopheles gambiae	CPAP3	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP3-A1c	CPAP3-A1c	Aga	Anopheles gambiae	CPAP3	0.0	None	0.0	None	0.0	no_hit
