#                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                   accession  query name              accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#           ------------------- ----------    -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Tmo_ACP20                       -          CPR_RR-2.clean_seed.aln -            7.1e-74  244.4   0.6   6.6e-37  124.3   0.0   2.1   2   0   0   2   2   2   2 -
Dma_A0A0P5ZSW6                  -          CPR_RR-2.clean_seed.aln -            5.2e-73  241.5 103.5   4.1e-19   66.4  15.9   5.2   2   2   3   5   5   5   5 -
Cpo_CPR78                       -          CPR_RR-2.clean_seed.aln -            6.2e-62  205.6  20.5   1.5e-37  126.3   4.3   2.8   1   1   2   3   3   2   2 -
Dma_A0A164NWW6                  -          CPR_RR-2.clean_seed.aln -            3.3e-60  199.9 112.3   4.4e-16   56.6   0.2   6.7   3   1   2   6   6   6   6 -
Dma_A0A0P5FYS6                  -          CPR_RR-2.clean_seed.aln -            9.8e-55  182.2 114.2   2.9e-20   70.2  24.0   3.7   1   1   3   4   4   3   3 -
Bmo_CPR67                       -          CPR_RR-2.clean_seed.aln -            1.8e-46  155.3  10.9     2e-46  155.1  10.9   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene13195-RR2            -          CPR_RR-2.clean_seed.aln -            1.3e-45  152.6   6.1   1.4e-45  152.5   6.1   1.0   1   0   0   1   1   1   1 -
Aga_CPR6                        -          CPR_RR-2.clean_seed.aln -            8.8e-45  149.8  10.7   1.2e-44  149.4  10.7   1.2   1   0   0   1   1   1   1 -
Foc_RR-2_10                     -          CPR_RR-2.clean_seed.aln -            1.6e-44  149.0   4.9   1.7e-44  148.9   4.9   1.0   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_96      -          CPR_RR-2.clean_seed.aln -              2e-44  148.7  11.7   2.5e-44  148.4  11.7   1.1   1   0   0   1   1   1   1 -
Bmo_CPR150                      -          CPR_RR-2.clean_seed.aln -            2.1e-44  148.6   3.5   2.5e-44  148.4   3.5   1.1   1   0   0   1   1   1   1 -
Dvi_CPR_Uncharacterized_98      -          CPR_RR-2.clean_seed.aln -            2.6e-44  148.3  12.2   3.1e-44  148.1  12.2   1.1   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_45      -          CPR_RR-2.clean_seed.aln -            3.1e-44  148.1  13.4   3.7e-44  147.8  13.4   1.1   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_L       -          CPR_RR-2.clean_seed.aln -            3.8e-44  147.8  10.4   4.6e-44  147.5  10.4   1.1   1   0   0   1   1   1   1 -
Aga_CPR1                        -          CPR_RR-2.clean_seed.aln -            4.2e-44  147.6   7.9   4.8e-44  147.4   7.9   1.1   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_60      -          CPR_RR-2.clean_seed.aln -            5.8e-44  147.2  11.0   7.1e-44  146.9  11.0   1.1   1   0   0   1   1   1   1 -
Cfe_Unigene1649-RR2             -          CPR_RR-2.clean_seed.aln -            5.9e-44  147.2   4.4   6.8e-44  147.0   4.4   1.0   1   0   0   1   1   1   1 -
Foc_RR-2_14                     -          CPR_RR-2.clean_seed.aln -            6.2e-44  147.1  12.3   6.9e-44  146.9  12.3   1.1   1   0   0   1   1   1   1 -
Bmo_CPR71                       -          CPR_RR-2.clean_seed.aln -            8.7e-44  146.6  11.0     1e-43  146.4  11.0   1.1   1   0   0   1   1   1   1 -
Cfe_Unigene13228-RR2            -          CPR_RR-2.clean_seed.aln -            9.9e-44  146.4   6.7   1.1e-43  146.3   6.7   1.0   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_104     -          CPR_RR-2.clean_seed.aln -              1e-43  146.4   3.1   1.1e-43  146.3   3.1   1.0   1   0   0   1   1   1   1 -
Dme_Cpr62Bc                     -          CPR_RR-2.clean_seed.aln -            1.1e-43  146.2  14.9   1.4e-43  145.9  14.9   1.1   1   0   0   1   1   1   1 -
Nlu_Cpr59                       -          CPR_RR-2.clean_seed.aln -            1.4e-43  145.9   6.8   1.5e-43  145.9   6.8   1.0   1   0   0   1   1   1   1 -
Cfe_CL1789.Contig1-RR2          -          CPR_RR-2.clean_seed.aln -            1.7e-43  145.7   1.6   2.1e-43  145.4   1.6   1.1   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_119     -          CPR_RR-2.clean_seed.aln -            1.7e-43  145.6  14.2   2.1e-43  145.4  14.2   1.1   1   0   0   1   1   1   1 -
Dma_A0A0P5TNV1                  -          CPR_RR-2.clean_seed.aln -            1.9e-43  145.5  36.3   2.9e-25   86.4  12.1   3.2   2   1   1   3   3   2   2 -
Dmo_CPR_Uncharacterized_98      -          CPR_RR-2.clean_seed.aln -            2.1e-43  145.3   8.8   2.6e-43  145.1   8.8   1.0   1   0   0   1   1   1   1 -
Dme_Cpr66Ca_iso2                -          CPR_RR-2.clean_seed.aln -            2.5e-43  145.1   4.7   2.7e-43  145.0   4.7   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene16827-RR2            -          CPR_RR-2.clean_seed.aln -            3.1e-43  144.8   8.6   3.5e-43  144.6   8.6   1.0   1   0   0   1   1   1   1 -
Dan_CPR_Uncharacterized_68      -          CPR_RR-2.clean_seed.aln -            4.2e-43  144.4   0.2   4.7e-43  144.2   0.2   1.0   1   0   0   1   1   1   1 -
Cfe_CL1911.Contig2-RR2          -          CPR_RR-2.clean_seed.aln -            4.7e-43  144.2   6.8   5.5e-43  144.0   6.8   1.0   1   0   0   1   1   1   1 -
Cfe_Unigene9627-RR2             -          CPR_RR-2.clean_seed.aln -            4.7e-43  144.2   6.8   5.5e-43  144.0   6.8   1.0   1   0   0   1   1   1   1 -
Aga_CPR70                       -          CPR_RR-2.clean_seed.aln -            5.3e-43  144.1   7.9   5.6e-43  144.0   7.9   1.0   1   0   0   1   1   1   1 -
Isc_EEC11084.1                  -          CPR_RR-2.clean_seed.aln -            5.5e-43  144.0  11.3   1.3e-14   51.8   3.6   3.1   2   1   1   3   3   3   3 -
Dan_CPR_Uncharacterized_64      -          CPR_RR-2.clean_seed.aln -            7.3e-43  143.6   5.3   7.8e-43  143.5   5.3   1.0   1   0   0   1   1   1   1 -
Dgr_CPR_Uncharacterized_56      -          CPR_RR-2.clean_seed.aln -            8.2e-43  143.4   0.3   9.3e-43  143.3   0.3   1.0   1   0   0   1   1   1   1 -
Lmi_ACP7                        -          CPR_RR-2.clean_seed.aln -            9.2e-43  143.3  11.2     1e-42  143.1  11.2   1.1   1   0   0   1   1   1   1 -
Bta_CP83                        -          CPR_RR-2.clean_seed.aln -            1.1e-42  143.1  14.0   1.2e-42  142.9  14.0   1.1   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_88      -          CPR_RR-2.clean_seed.aln -            1.2e-42  142.9   0.5   1.4e-42  142.7   0.5   1.1   1   0   0   1   1   1   1 -
Dps_CPR_Uncharacterized_20      -          CPR_RR-2.clean_seed.aln -            1.2e-42  142.9   0.8   1.4e-42  142.7   0.8   1.1   1   0   0   1   1   1   1 -
Dmo_CPR_Uncharacterized_95      -          CPR_RR-2.clean_seed.aln -            1.4e-42  142.7   3.4   1.5e-42  142.6   3.4   1.0   1   0   0   1   1   1   1 -
Aga_CPR96                       -          CPR_RR-2.clean_seed.aln -            1.8e-42  142.3  14.6   2.6e-42  141.8  14.6   1.3   1   0   0   1   1   1   1 -
Dwi_CPR_Uncharacterized_84      -          CPR_RR-2.clean_seed.aln -            2.2e-42  142.0   3.9   2.4e-42  141.9   3.9   1.0   1   0   0   1   1   1   1 -
Aga_CPR60                       -          CPR_RR-2.clean_seed.aln -            2.7e-42  141.8  12.1   2.9e-42  141.6  12.1   1.0   1   0   0   1   1   1   1 -
