protein_id	protein_name	species_code	species_name	current_family	CPR_score	CPR_evalue
Foc_RR-1_2	RR-1_2	Foc	Frankliniella occidentalis	CPR RR-1	238.1	1.7e-71
Dma_A0A164W346	A0A164W346	Dma	Daphnia magna	NULL	182.3	1.9e-54
Tmo_ACP20	ACP20	Tmo	Tenebrio molitor	CPR RR-2	174.5	4.8e-52
Nlu_Cpr20	Cpr20	Nlu	Nilaparvata lugens	CPR	162.4	2.4e-48
Dma_A0A0P5STA8	A0A0P5STA8	Dma	Daphnia magna	NULL	159.5	1.8e-47
Cpo_CPR78	CPR78	Cpo	Cydia pomonella	CPR RR-2	144.9	5.4e-43
Aga_CPR78	CPR78	Aga	Anopheles gambiae	CPR RR-1	133.1	2.2e-39
Aga_CPR77	CPR77	Aga	Anopheles gambiae	CPR RR-1	127.6	1.1e-37
Nlu_Cpr16	Cpr16	Nlu	Nilaparvata lugens	CPR	127.2	1.4e-37
Dps_CPR_Uncharacterized_48	CPR_Uncharacterized_48	Dps	Drosophila pseudoobscura	CPR	125.1	6e-37
Dmo_CPR_Uncharacterized_30	CPR_Uncharacterized_30	Dmo	Drosophila mojavensis	CPR	125.0	6.2e-37
Bmo_CPR32	CPR32	Bmo	Bombyx mori	CPR RR-1	124.7	7.8e-37
Nlu_Cpr18	Cpr18	Nlu	Nilaparvata lugens	CPR	124.2	1.1e-36
Dme_Cpr49Aa	Cpr49Aa	Dme	Drosophila melanogaster	CPR RR-1	124.1	1.2e-36
Cfe_Unigene13309-RR1	Unigene13309-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	123.7	1.6e-36
Lmi_Abd-2	Abd-2	Lmi	Locusta migratoria	RR-1	122.1	5.1e-36
Foc_RR-1_6	RR-1_6	Foc	Frankliniella occidentalis	CPR RR-1	122.0	5.5e-36
Bmo_CPR67	CPR67	Bmo	Bombyx mori	CPR RR-2	121.0	1.1e-35
Cfe_Unigene6620-RR1	Unigene6620-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	120.8	1.2e-35
Foc_RR-1_5	RR-1_5	Foc	Frankliniella occidentalis	CPR RR-1	120.7	1.3e-35
Dgr_CPR_Uncharacterized_31	CPR_Uncharacterized_31	Dgr	Drosophila grimshawi	CPR	120.7	1.3e-35
Dmo_CPR_Uncharacterized_119	CPR_Uncharacterized_119	Dmo	Drosophila mojavensis	CPR	120.5	1.6e-35
Dme_Cpr76Bc	Cpr76Bc	Dme	Drosophila melanogaster	CPR RR-2	120.2	1.9e-35
