protein_id	protein_name	species_code	species_name	current_family	CPG_score	CPG_evalue	CPH_score	CPH_evalue	delta_CPG_minus_CPH	higher_score_prediction	CPG_feature_score	CPG_feature_class	CPH_feature_score	CPH_feature_class	glycine_percent	alanine_percent	proline_percent	tyrosine_percent	valine_percent	histidine_percent	GGX_count	GGXGG_count	GGYGG_count	GGG_or_more_count	GY_or_YG_count	GH_or_HG_count	AAP_count	AAPA_or_AAPV_count	AP_or_PA_count	PV_or_PY_count	status	review_note
Bmo_CPG1	CPG1	Bmo	Bombyx mori	CPG	38.8	1.6e-10	10.0	0.12	28.8	CPG	6	strong_CPG_feature_support	1	weak_CPH_feature_support	33.3	4.8	3.0	10.9	13.3	1.2	22	8	7	5	18	1	0	0	1	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG10	CPG10	Bmo	Bombyx mori	CPG	50.2	5.1e-14	0.0	None	50.2	CPG	6	strong_CPG_feature_support	0	no_CPH_feature_support	34.8	6.2	4.0	7.1	4.9	3.1	25	11	9	14	13	6	0	0	2	1	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG12	CPG12	Bmo	Bombyx mori	CPG	44.9	2e-12	0.0	None	44.9	CPG	4	moderate_CPG_feature_support	5	strong_CPH_feature_support	5.9	4.2	20.1	7.6	22.6	7.9	6	2	2	2	4	7	0	0	4	60	confirmed_CPG	current_CPG_with_CPG_feature_support;also_strong_CPH_like_features
Bmo_CPG14	CPG14	Bmo	Bombyx mori	CPG	35.7	1.4e-09	0.0	None	35.7	CPG	4	moderate_CPG_feature_support	2	weak_CPH_feature_support	16.1	7.5	7.5	9.0	7.5	7.5	7	1	0	0	12	8	0	0	4	4	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG15	CPG15	Bmo	Bombyx mori	CPG	0.0	None	0.0	None	0.0	no_hit	6	strong_CPG_feature_support	0	no_CPH_feature_support	54.2	3.4	0.0	1.7	2.2	1.7	32	13	3	18	3	2	0	0	0	0	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Bmo_CPG17	CPG17	Bmo	Bombyx mori	CPG	22.8	1.2e-05	0.0	None	22.8	CPG	4	moderate_CPG_feature_support	0	no_CPH_feature_support	27.7	4.3	1.1	5.3	5.3	20.2	6	0	0	0	4	13	0	0	0	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG18	CPG18	Bmo	Bombyx mori	CPG	25.6	1.7e-06	0.0	None	25.6	CPG	6	strong_CPG_feature_support	0	no_CPH_feature_support	43.9	1.9	1.9	12.1	1.9	1.9	18	7	6	3	12	2	0	0	0	1	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG19	CPG19	Bmo	Bombyx mori	CPG	66.2	6.2e-19	0.0	None	66.2	CPG	6	strong_CPG_feature_support	0	no_CPH_feature_support	34.2	6.7	4.2	11.7	2.5	4.2	14	6	3	1	13	4	1	0	2	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG20	CPG20	Bmo	Bombyx mori	CPG	21.8	2.6e-05	0.0	None	21.8	CPG	5	strong_CPG_feature_support	1	weak_CPH_feature_support	19.5	9.4	6.3	7.5	6.9	1.3	8	1	0	2	7	2	0	0	4	1	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG21	CPG21	Bmo	Bombyx mori	CPG	52.7	8.6e-15	0.0	None	52.7	CPG	3	moderate_CPG_feature_support	1	weak_CPH_feature_support	16.4	1.9	8.2	9.3	6.3	1.5	11	5	0	0	0	0	0	0	0	2	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG22	CPG22	Bmo	Bombyx mori	CPG	20.0	8.7e-05	0.0	None	20.0	CPG	3	moderate_CPG_feature_support	0	no_CPH_feature_support	23.4	9.3	3.7	17.8	5.6	3.7	4	1	1	0	14	3	0	0	1	2	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG23	CPG23	Bmo	Bombyx mori	CPG	0.0	None	0.0	None	0.0	no_hit	5	strong_CPG_feature_support	1	weak_CPH_feature_support	31.0	11.3	1.4	13.6	4.2	5.2	10	1	1	0	23	8	0	0	3	0	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Bmo_CPG24	CPG24	Bmo	Bombyx mori	CPG	59.5	6.9e-17	0.0	None	59.5	CPG	4	moderate_CPG_feature_support	4	moderate_CPH_feature_support	7.2	1.5	13.3	10.0	19.0	6.4	8	1	0	1	4	8	0	0	0	39	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG25	CPG25	Bmo	Bombyx mori	CPG	56.8	4.8e-16	12.6	0.019	44.2	CPG	3	moderate_CPG_feature_support	4	moderate_CPH_feature_support	23.1	10.3	10.3	9.6	12.2	2.6	6	0	0	0	14	1	1	0	5	4	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG26	CPG26	Bmo	Bombyx mori	CPG	36.8	6.6e-10	0.0	None	36.8	CPG	6	strong_CPG_feature_support	1	weak_CPH_feature_support	33.3	3.9	2.6	11.8	13.7	0.0	19	7	6	7	17	0	0	0	1	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG27	CPG27	Bmo	Bombyx mori	CPG	58.7	1.2e-16	0.0	None	58.7	CPG	6	strong_CPG_feature_support	1	weak_CPH_feature_support	32.9	4.0	2.7	11.4	14.1	0.0	18	7	6	7	16	0	0	0	1	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG28	CPG28	Bmo	Bombyx mori	CPG	60.3	4.1e-17	0.0	None	60.3	CPG	6	strong_CPG_feature_support	1	weak_CPH_feature_support	31.0	4.2	2.8	11.3	14.8	0.0	16	6	5	6	15	0	0	0	1	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG3	CPG3	Bmo	Bombyx mori	CPG	52.6	9.5e-15	7.8	0.56	44.8	CPG	6	strong_CPG_feature_support	1	weak_CPH_feature_support	32.1	4.5	3.0	9.0	17.2	0.7	16	7	6	7	11	0	0	0	1	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG30	CPG30	Bmo	Bombyx mori	CPG	72.8	6e-21	0.0	None	72.8	CPG	3	moderate_CPG_feature_support	2	weak_CPH_feature_support	7.7	6.1	2.4	2.8	6.1	1.2	5	1	0	3	1	1	0	0	3	1	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG31	CPG31	Bmo	Bombyx mori	CPG	50.3	4.8e-14	0.0	None	50.3	CPG	3	moderate_CPG_feature_support	4	moderate_CPH_feature_support	14.8	32.8	1.0	3.8	7.9	2.1	5	0	0	2	8	4	2	2	3	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG32	CPG32	Bmo	Bombyx mori	CPG	0.0	None	0.0	None	0.0	no_hit	6	strong_CPG_feature_support	0	no_CPH_feature_support	50.8	5.8	0.0	3.4	2.0	2.8	81	29	6	34	16	8	0	0	0	0	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Bmo_CPG33	CPG33	Bmo	Bombyx mori	CPG	0.0	None	0.0	None	0.0	no_hit	6	strong_CPG_feature_support	0	no_CPH_feature_support	65.5	4.4	0.5	2.0	0.5	5.9	46	20	2	24	4	12	1	0	1	0	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Bmo_CPG34	CPG34	Bmo	Bombyx mori	CPG	16.8	0.00088	0.0	None	16.8	CPG	5	strong_CPG_feature_support	0	no_CPH_feature_support	30.4	9.4	2.9	14.6	5.8	2.9	15	6	5	0	17	4	0	0	1	1	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG35	CPG35	Bmo	Bombyx mori	CPG	18.3	0.0003	0.0	None	18.3	CPG	6	strong_CPG_feature_support	0	no_CPH_feature_support	46.1	2.2	5.6	4.5	4.5	0.0	12	4	2	4	4	0	0	0	0	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG36	CPG36	Bmo	Bombyx mori	CPG	34.1	4.4e-09	0.0	None	34.1	CPG	6	strong_CPG_feature_support	0	no_CPH_feature_support	30.4	8.9	2.5	7.6	2.5	15.2	8	1	0	5	3	12	0	0	1	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG37	CPG37	Bmo	Bombyx mori	CPG	0.0	None	0.0	None	0.0	no_hit	3	moderate_CPG_feature_support	1	weak_CPH_feature_support	35.0	7.0	0.7	0.7	14.7	0.0	19	0	0	0	0	0	0	0	1	0	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Bmo_CPG38	CPG38	Bmo	Bombyx mori	CPG	37.6	3.7e-10	0.0	None	37.6	CPG	5	strong_CPG_feature_support	5	strong_CPH_feature_support	19.0	7.2	11.1	3.9	19.5	2.6	14	2	0	3	6	5	2	2	6	33	confirmed_CPG	current_CPG_with_CPG_feature_support;also_strong_CPH_like_features
Bmo_CPG39	CPG39	Bmo	Bombyx mori	CPG	3.7	8.8	0.0	None	3.7	CPG	4	moderate_CPG_feature_support	3	moderate_CPH_feature_support	24.1	5.6	10.0	3.4	15.6	3.1	20	4	1	9	1	4	0	0	1	22	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG40	CPG40	Bmo	Bombyx mori	CPG	37.5	3.9e-10	0.0	None	37.5	CPG	4	moderate_CPG_feature_support	0	no_CPH_feature_support	18.4	10.2	5.1	12.2	1.0	8.2	7	2	1	0	5	7	0	0	2	2	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG41	CPG41	Bmo	Bombyx mori	CPG	25.7	1.6e-06	7.8	0.59	17.9	CPG	4	moderate_CPG_feature_support	1	weak_CPH_feature_support	26.3	10.2	5.1	7.3	5.1	2.9	8	0	0	0	10	3	1	0	6	1	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG42	CPG42	Bmo	Bombyx mori	CPG	83.5	3.1e-24	0.0	None	83.5	CPG	5	strong_CPG_feature_support	0	no_CPH_feature_support	20.5	8.7	1.2	3.2	5.0	4.0	16	3	0	3	4	5	0	0	0	1	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG44	CPG44	Bmo	Bombyx mori	CPG	0.0	None	0.0	None	0.0	no_hit	3	moderate_CPG_feature_support	0	no_CPH_feature_support	19.6	6.0	2.2	1.6	4.7	6.0	5	0	0	0	3	9	0	0	0	0	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Bmo_CPG45	CPG45	Bmo	Bombyx mori	CPG	0.0	None	0.0	None	0.0	no_hit	4	moderate_CPG_feature_support	0	no_CPH_feature_support	58.3	0.0	0.0	2.8	0.0	0.0	19	10	0	0	0	0	0	0	0	0	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Bmo_CPG46	CPG46	Bmo	Bombyx mori	CPG	44.1	3.6e-12	23.4	9.4e-06	20.7	CPG	4	moderate_CPG_feature_support	7	strong_CPH_feature_support	13.2	19.5	9.8	6.3	16.7	5.2	6	2	2	4	7	1	5	5	6	7	confirmed_CPG	current_CPG_with_CPG_feature_support;also_strong_CPH_like_features
Bmo_CPG48	CPG48	Bmo	Bombyx mori	CPG	0.0	None	0.0	None	0.0	no_hit	5	strong_CPG_feature_support	2	weak_CPH_feature_support	26.6	3.6	11.3	1.8	1.1	1.5	13	0	0	8	5	2	0	0	4	0	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Bmo_CPG49	CPG49	Bmo	Bombyx mori	CPG	0.0	None	0.0	None	0.0	no_hit	5	strong_CPG_feature_support	0	no_CPH_feature_support	40.5	8.9	0.3	1.7	7.6	12.0	6	0	0	2	17	138	0	0	0	0	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Bmo_CPG5	CPG5	Bmo	Bombyx mori	CPG	23.0	1.1e-05	0.0	None	23.0	CPG	4	moderate_CPG_feature_support	0	no_CPH_feature_support	33.7	5.9	1.0	13.9	3.0	8.9	8	0	0	0	12	8	0	0	0	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG50	CPG50	Bmo	Bombyx mori	CPG	0.0	None	0.0	None	0.0	no_hit	4	moderate_CPG_feature_support	3	moderate_CPH_feature_support	13.3	7.9	7.5	2.9	4.1	4.2	19	6	1	2	5	13	0	0	6	7	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Bmo_CPG6	CPG6	Bmo	Bombyx mori	CPG	26.1	1.2e-06	0.0	None	26.1	CPG	5	strong_CPG_feature_support	0	no_CPH_feature_support	35.0	5.0	1.4	18.6	7.9	3.6	13	4	4	0	22	3	0	0	1	1	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG7	CPG7	Bmo	Bombyx mori	CPG	50.4	4.4e-14	0.0	None	50.4	CPG	3	moderate_CPG_feature_support	5	strong_CPH_feature_support	12.1	6.1	13.2	2.9	15.0	8.2	9	2	0	3	0	4	0	0	6	22	confirmed_CPG	current_CPG_with_CPG_feature_support;also_strong_CPH_like_features
Bmo_CPG8	CPG8	Bmo	Bombyx mori	CPG	44.3	3.1e-12	0.0	None	44.3	CPG	3	moderate_CPG_feature_support	4	moderate_CPH_feature_support	14.2	7.5	9.9	2.9	13.6	7.5	10	1	0	2	2	6	0	0	0	17	confirmed_CPG	current_CPG_with_CPG_feature_support
Bmo_CPG9	CPG9	Bmo	Bombyx mori	CPG	0.0	None	0.0	None	0.0	no_hit	3	moderate_CPG_feature_support	1	weak_CPH_feature_support	14.8	5.3	3.3	5.7	2.9	13.9	8	0	0	1	4	9	0	0	1	2	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Bmo_GRP2	GRP2	Bmo	Bombyx mori	CPG	0.0	None	0.0	None	0.0	no_hit	5	strong_CPG_feature_support	1	weak_CPH_feature_support	34.6	6.0	6.9	2.2	3.8	2.8	41	9	0	21	1	5	1	0	7	2	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Bmo_GRP3	GRP3	Bmo	Bombyx mori	CPG	39.6	9.1e-11	0.0	None	39.6	CPG	4	moderate_CPG_feature_support	5	strong_CPH_feature_support	7.0	4.2	18.9	7.5	21.7	7.8	7	3	3	3	5	7	0	0	3	57	confirmed_CPG	current_CPG_with_CPG_feature_support;also_strong_CPH_like_features
Cme_CPG1	CPG1	Cme	Cnaphalocrocis medinalis	CPG	40.0	6.9e-11	0.0	None	40.0	CPG	6	strong_CPG_feature_support	2	weak_CPH_feature_support	36.3	5.5	4.6	7.7	6.2	3.7	36	13	7	21	23	8	0	0	3	3	confirmed_CPG	current_CPG_with_CPG_feature_support
Dme_EDG91	EDG91	Dme	Drosophila melanogaster	CPG	0.0	None	0.0	None	0.0	no_hit	6	strong_CPG_feature_support	1	weak_CPH_feature_support	39.6	4.4	3.8	13.8	3.1	3.1	17	4	3	9	15	3	1	1	1	1	confirmed_CPG	current_CPG_with_CPG_feature_support;no_CPG_or_CPH_HMM_hit
Foc_CPG1	CPG1	Foc	Frankliniella occidentalis	CPG	38.6	1.8e-10	8.9	0.27	29.7	CPG	4	moderate_CPG_feature_support	2	weak_CPH_feature_support	23.7	11.0	7.6	16.1	11.0	0.8	9	2	2	0	14	1	0	0	1	4	confirmed_CPG	current_CPG_with_CPG_feature_support
Foc_CPG2	CPG2	Foc	Frankliniella occidentalis	CPG	39.3	1.1e-10	0.0	None	39.3	CPG	4	moderate_CPG_feature_support	2	weak_CPH_feature_support	23.3	10.9	5.9	2.5	4.5	2.0	14	6	0	4	0	1	2	1	4	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Foc_CPG3	CPG3	Foc	Frankliniella occidentalis	CPG	35.5	1.6e-09	0.0	None	35.5	CPG	6	strong_CPG_feature_support	0	no_CPH_feature_support	25.5	10.5	4.6	6.5	3.3	6.5	13	6	3	5	8	1	0	0	2	0	confirmed_CPG	current_CPG_with_CPG_feature_support
Foc_CPG4	CPG4	Foc	Frankliniella occidentalis	CPG	26.3	1.1e-06	0.0	None	26.3	CPG	6	strong_CPG_feature_support	0	no_CPH_feature_support	26.8	6.7	4.3	11.5	3.8	5.3	18	7	7	1	22	4	0	0	2	1	confirmed_CPG	current_CPG_with_CPG_feature_support
Foc_CPG5	CPG5	Foc	Frankliniella occidentalis	CPG	74.7	1.6e-21	0.0	None	74.7	CPG	4	moderate_CPG_feature_support	6	strong_CPH_feature_support	9.7	20.7	10.8	2.2	4.6	0.7	18	8	6	3	10	3	9	3	24	4	confirmed_CPG	current_CPG_with_CPG_feature_support;also_strong_CPH_like_features
Foc_CPG6	CPG6	Foc	Frankliniella occidentalis	CPG	23.0	1.1e-05	0.0	None	23.0	CPG	5	strong_CPG_feature_support	1	weak_CPH_feature_support	33.0	8.1	5.0	3.6	1.4	0.9	28	13	0	12	2	2	0	0	3	0	confirmed_CPG	current_CPG_with_CPG_feature_support
