protein_id	current_family	RR1_score	RR1_evalue	RR2_score	RR2_evalue	score_delta_RR1_minus_RR2	higher_score_prediction
Aae_CPR100A	CPR RR-1	102.1	3.5e-30	18.6	0.00021	83.5	RR-1
Aae_L000085-PA	NULL	0.0	None	0.0	None	0.0	no_hit
Aae_L004771-PA	NULL	28.2	2e-07	96.6	2.1e-28	-68.4	RR-2
Aae_L008973-PA	NULL	38.6	1.2e-10	117.2	9.5e-35	-78.6	RR-2
Aae_L008980-PA	NULL	41.5	1.6e-11	114.6	6.4e-34	-73.1	RR-2
Aae_L008996-PA	NULL	37.5	2.7e-10	114.2	8.4e-34	-76.7	RR-2
Aae_L009001-PA	NULL	36.8	4.4e-10	127.0	9.6e-38	-90.2	RR-2
Aae_L014769-PA	NULL	38.2	1.6e-10	116.0	2.3e-34	-77.8	RR-2
Aae_L015281-PA	NULL	43.2	4.9e-12	116.7	1.4e-34	-73.5	RR-2
Aae_PC	CPR RR-2	46.0	6.7e-13	135.2	2.8e-40	-89.2	RR-2
Aal_Cp19	CPR RR-2	28.6	1.5e-07	115.9	2.5e-34	-87.3	RR-2
Ace_CPR2	CPR RR-1	69.3	4.5e-20	14.0	0.0057	55.3	RR-1
Aga_CPAP1-A	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-B1	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-B2	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-C	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-F	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-G	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-H	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-J	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-K_iso1	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-K_iso2	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-M	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-N	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP1-O	CPAP1	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP3-A1b	CPAP3	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP3-A1c	CPAP3	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP3-B	CPAP3	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP3-C	NULL	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP3-D1	CPAP3	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP3-D2_iso1	CPAP3	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP3-D2_iso2	CPAP3	0.0	None	0.0	None	0.0	no_hit
Aga_CPAP3-E	CPAP3	0.0	None	0.0	None	0.0	no_hit
Aga_CPF1	CPF	0.0	None	0.0	None	0.0	no_hit
Aga_CPF2	CPF	0.0	None	0.0	None	0.0	no_hit
Aga_CPF3	CPF	0.0	None	0.0	None	0.0	no_hit
Aga_CPF4	CPF	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL1	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL2	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL3	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL4	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL5	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL6	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPFL7	CPFL	0.0	None	0.0	None	0.0	no_hit
Aga_CPLC#	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLC8	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCA1	CPLCA	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCA2	CPLCA	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCA3	CPLCA	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG1	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG10	CPLCG	0.0	None	0.0	None	0.0	no_hit
Aga_CPLCG11	CPLCG	0.0	None	0.0	None	0.0	no_hit
