protein_id	protein_name	species_code	species_name	current_family	CPLCP_score	CPLCP_evalue	CPLCP_confident	classifier_prediction	confidence	status	feature_validation	length	CPLCP_feature_score	CPLCP_feature_class	proline_percent	valine_percent	tyrosine_percent	lysine_percent	histidine_percent	glycine_percent	acidic_polar_percent_Nterm80	histidine_percent_Cterm80	PV_count	PY_count	GLWD_or_GLWE_count	H_cluster_3_in_20_count	GYH_rich_short_count	weird_characters
Aga_CPLCP1	CPLCP1	Aga	Anopheles gambiae	CPLCP	194.0	4.8e-58	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	178	5	strong_CPLCP_feature_support	11.2	23.6	4.5	14.6	6.7	6.7	20.0	7.5	15	4	0	2	0	
Aga_CPLCP10	CPLCP10	Aga	Anopheles gambiae	CPLCP	173.6	8.2e-52	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	360	6	strong_CPLCP_feature_support	19.2	24.2	5.8	11.4	9.2	2.5	32.5	20.0	47	16	0	4	0	
Aga_CPLCP11	CPLCP11	Aga	Anopheles gambiae	CPLCP	190.7	4.9e-57	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	349	6	strong_CPLCP_feature_support	19.8	23.2	7.2	10.9	10.9	2.3	28.8	17.5	44	17	0	4	0	
Aga_CPLCP12	CPLCP12	Aga	Anopheles gambiae	CPLCP	207.1	4.9e-62	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	386	5	strong_CPLCP_feature_support	17.6	22.0	8.5	9.6	9.1	4.7	21.2	22.5	38	21	0	3	2	
Aga_CPLCP13	CPLCP13	Aga	Anopheles gambiae	CPLCP	235.2	1.2e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	6	strong_CPLCP_feature_support	11.4	20.5	9.7	14.1	4.3	3.2	32.5	5.0	13	5	1	0	0	
Aga_CPLCP14	CPLCP14	Aga	Anopheles gambiae	CPLCP	232.7	7.4e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	6	strong_CPLCP_feature_support	11.4	20.0	9.7	14.1	4.3	3.2	32.5	5.0	13	5	1	0	0	
Aga_CPLCP15	CPLCP15	Aga	Anopheles gambiae	CPLCP	232.3	9.7e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	7	strong_CPLCP_feature_support	11.4	23.8	8.6	13.5	5.4	3.8	31.2	7.5	13	5	1	1	0	
Aga_CPLCP16	CPLCP16	Aga	Anopheles gambiae	CPLCP	234.4	2.2e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	7	strong_CPLCP_feature_support	10.8	23.8	8.6	13.5	5.4	3.8	33.8	7.5	13	5	1	1	0	
Aga_CPLCP17	CPLCP17	Aga	Anopheles gambiae	CPLCP	233.8	3.3e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	6	strong_CPLCP_feature_support	11.4	20.5	9.7	14.1	4.3	3.2	32.5	5.0	13	5	1	0	0	
Aga_CPLCP18	CPLCP18	Aga	Anopheles gambiae	CPLCP	235.1	1.4e-70	yes	CPLCP	high	confirmed	strong_CPLCP_feature_support	185	7	strong_CPLCP_feature_support	10.8	23.8	8.6	13.5	5.4	3.8	32.5	7.5	13	5	1	1	0	
