protein_id	protein_name	species_code	species_name	current_family	CPAP1_score	CPAP1_evalue	CPAP3_score	CPAP3_evalue	delta_CPAP1_minus_CPAP3	best_CPAP_score	classifier_prediction	confidence	status	architecture_validation	length	cysteine_count	strict_ChtBD2_windows	jasrapuria_ChtBD2_windows	relaxed_ChtBD2_windows	strict_ChtBD2_nonoverlap	jasrapuria_ChtBD2_nonoverlap	relaxed_ChtBD2_nonoverlap	best_distance_from_strict	best_distance_from_jasrapuria	best_spacing	best_window_start	best_window_end
Aga_CPAP1-A	CPAP1-A	Aga	Anopheles gambiae	CPAP1	157.6	5.1e-47	24.5	1.9e-06	133.1	157.6	CPAP1	high	confirmed	supports_CPAP1_architecture	168	8	0	1	1	0	1	1	4	0	16,5,13,12,7	72	130
Aga_CPAP1-B1	CPAP1-B1	Aga	Anopheles gambiae	CPAP1	156.7	9.1e-47	17.9	0.0002	138.8	156.7	CPAP1	high	confirmed	supports_CPAP1_architecture	184	6	0	1	1	0	1	1	3	0	15,5,10,12,7	91	145
Aga_CPAP1-B2	CPAP1-B2	Aga	Anopheles gambiae	CPAP1	181.7	2.2e-54	20.7	2.7e-05	161.0	181.7	CPAP1	high	confirmed	supports_CPAP1_architecture	777	8	0	1	1	0	1	1	3	0	15,5,10,12,7	481	535
Aga_CPAP1-C	CPAP1-C	Aga	Anopheles gambiae	CPAP1	125.1	4e-37	15.8	0.00086	109.3	125.1	CPAP1	high	confirmed	supports_CPAP1_architecture	721	10	0	1	1	0	1	1	2	0	14,5,10,12,7	49	102
Aga_CPAP1-F	CPAP1-F	Aga	Anopheles gambiae	CPAP1	142.9	1.5e-42	18.2	0.00017	124.7	142.9	CPAP1	high	confirmed	missing_expected_CPAP1_ChtBD2	144	6	0	0	0	0	0	0	17	15	14,5,10,31,7	48	120
Aga_CPAP1-G	CPAP1-G	Aga	Anopheles gambiae	CPAP1	108.4	5e-32	18.8	0.00011	89.6	108.4	CPAP1	high	confirmed	supports_CPAP1_architecture	332	9	0	1	1	0	1	1	2	0	14,5,9,12,8	131	184
Aga_CPAP1-H	CPAP1-H	Aga	Anopheles gambiae	CPAP1	97.0	1.5e-28	20.9	2.4e-05	76.1	97.0	CPAP1	high	confirmed	supports_CPAP1_architecture	795	6	0	1	1	0	1	1	3	0	15,5,9,12,7	70	123
Aga_CPAP1-J	CPAP1-J	Aga	Anopheles gambiae	CPAP1	154.0	6.2e-46	28.0	1.6e-07	126.0	154.0	CPAP1	high	confirmed	supports_CPAP1_architecture	174	6	0	1	1	0	1	1	2	0	14,5,9,12,7	28	80
Aga_CPAP1-K_iso1	CPAP1-K_iso1	Aga	Anopheles gambiae	CPAP1	119.4	2.2e-35	13.0	0.0064	106.4	119.4	CPAP1	high	confirmed	supports_CPAP1_architecture	562	7	0	1	1	0	1	1	4	0	16,5,13,12,7	384	442
Aga_CPAP1-K_iso2	CPAP1-K_iso2	Aga	Anopheles gambiae	CPAP1	118.4	4.4e-35	12.7	0.0075	105.7	118.4	CPAP1	high	confirmed	supports_CPAP1_architecture	616	8	0	1	1	0	1	1	4	0	16,5,13,12,7	438	496
Aga_CPAP1-N	CPAP1-N	Aga	Anopheles gambiae	CPAP1	77.5	1.3e-22	0.0	None	77.5	77.5	CPAP1	high	confirmed	supports_CPAP1_architecture	561	6	0	0	1	0	0	1	3	1	14,5,9,12,9	53	107
Aga_CPAP1-O	CPAP1-O	Aga	Anopheles gambiae	CPAP1	126.0	2.2e-37	20.4	3.5e-05	105.6	126.0	CPAP1	high	confirmed	supports_CPAP1_architecture	875	7	0	1	1	0	1	1	10	0	22,5,13,12,7	281	345
Aga_CPAP3-A1b	CPAP3-A1b	Aga	Anopheles gambiae	CPAP3	57.7	1.5e-16	290.8	1.1e-87	-233.1	290.8	CPAP3	high	confirmed	supports_CPAP3_architecture	248	19	1	2	4	1	2	3	0	0	12,5,9,15,7	34	87
Aga_CPAP3-A1c	CPAP3-A1c	Aga	Anopheles gambiae	CPAP3	58.8	6.7e-17	287.4	1.3e-86	-228.6	287.4	CPAP3	high	confirmed	supports_CPAP3_architecture	240	18	1	2	4	1	2	3	0	0	12,5,9,15,7	27	80
Aga_CPAP3-B	CPAP3-B	Aga	Anopheles gambiae	CPAP3	105.5	3.9e-31	294.5	8.8e-89	-189.0	294.5	CPAP3	high	confirmed	supports_CPAP3_architecture	334	18	1	2	4	1	2	3	0	0	12,5,9,15,7	93	146
Aga_CPAP3-D1	CPAP3-D1	Aga	Anopheles gambiae	CPAP3	28.1	1.6e-07	247.6	1.8e-74	-219.5	247.6	CPAP3	high	confirmed	supports_CPAP3_architecture	228	18	0	1	4	0	1	3	2	0	14,5,9,15,7	27	82
Aga_CPAP3-D2_iso1	CPAP3-D2_iso1	Aga	Anopheles gambiae	CPAP3	25.7	8.5e-07	211.1	2.4e-63	-185.4	211.1	CPAP3	high	confirmed	supports_CPAP3_architecture	262	19	2	3	3	2	3	3	0	0	12,5,9,16,8	22	77
Aga_CPAP3-D2_iso2	CPAP3-D2_iso2	Aga	Anopheles gambiae	CPAP3	26.5	4.7e-07	221.6	1.5e-66	-195.1	221.6	CPAP3	high	confirmed	supports_CPAP3_architecture	251	19	2	3	4	2	3	3	0	0	12,5,9,16,8	22	77
Aga_CPAP3-E	CPAP3-E	Aga	Anopheles gambiae	CPAP3	41.2	1.6e-11	267.2	1.8e-80	-226.0	267.2	CPAP3	high	confirmed	supports_CPAP3_architecture	218	19	1	3	5	1	3	3	0	0	12,5,9,16,7	27	81
Bdo_CPAP3-A1	CPAP3-A1	Bdo	Bactrocera dorsalis	CPAP3	63.1	3.3e-18	294.6	8.2e-89	-231.5	294.6	CPAP3	high	confirmed	supports_CPAP3_architecture	237	19	1	2	4	1	2	3	0	0	12,5,9,15,7	25	78
Bdo_CPAP3-B	CPAP3-B	Bdo	Bactrocera dorsalis	CPAP3	80.0	2.3e-23	292.5	3.7e-88	-212.5	292.5	CPAP3	high	confirmed	supports_CPAP3_architecture	298	19	1	2	4	1	2	3	0	0	12,5,9,15,7	56	109
Bdo_CPAP3-D2	CPAP3-D2	Bdo	Bactrocera dorsalis	CPAP3	19.1	8.4e-05	228.1	1.5e-68	-209.0	228.1	CPAP3	high	confirmed	supports_CPAP3_architecture	265	18	2	3	4	2	3	3	0	0	12,5,9,16,8	35	90
Bdo_CPAP3-E	CPAP3-E	Bdo	Bactrocera dorsalis	CPAP3	58.1	1.1e-16	261.2	1.2e-78	-203.1	261.2	CPAP3	high	confirmed	supports_CPAP3_architecture	248	19	1	2	3	1	2	2	0	0	12,5,9,14,7	23	75
