protein_id	protein_name	species_code	species_name	current_family	CPLCP_score	CPLCP_evalue	CPLCP_confident	classifier_prediction	confidence	status	feature_validation	length	CPLCP_feature_score	CPLCP_feature_class	proline_percent	valine_percent	tyrosine_percent	lysine_percent	histidine_percent	glycine_percent	acidic_polar_percent_Nterm80	histidine_percent_Cterm80	PV_count	PY_count	GLWD_or_GLWE_count	H_cluster_3_in_20_count	GYH_rich_short_count	weird_characters
Aae_CPR100A	CPR100A	Aae	Aedes aegypti	CPR RR-1	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	254	3	moderate_CPLCP_feature_support	11.4	4.7	7.1	2.0	3.9	6.3	38.8	7.5	4	0	0	0	0	
Aae_L000085-PA	L000085-PA	Aae	Aedes aegypti	NULL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	159	3	moderate_CPLCP_feature_support	1.9	6.3	3.8	5.0	18.2	8.2	26.2	21.2	2	0	0	5	1	
Aae_L004771-PA	L004771-PA	Aae	Aedes aegypti	NULL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	moderate_CPLCP_features_but_no_confident_HMM	115	3	moderate_CPLCP_feature_support	4.3	8.7	7.8	4.3	16.5	7.8	32.5	15.0	2	0	0	3	1	
Aae_L008973-PA	L008973-PA	Aae	Aedes aegypti	NULL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	129	2	weak_CPLCP_feature_support	2.3	9.3	8.5	8.5	14.0	8.5	21.2	12.5	0	0	0	4	0	
Aae_L008980-PA	L008980-PA	Aae	Aedes aegypti	NULL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	129	2	weak_CPLCP_feature_support	2.3	8.5	8.5	7.0	14.0	8.5	20.0	12.5	0	0	0	4	0	
Aae_L008996-PA	L008996-PA	Aae	Aedes aegypti	NULL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	129	2	weak_CPLCP_feature_support	1.6	9.3	9.3	6.2	14.7	8.5	23.8	12.5	0	0	0	4	0	
Aae_L009001-PA	L009001-PA	Aae	Aedes aegypti	NULL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	149	2	weak_CPLCP_feature_support	4.0	10.7	4.0	10.7	18.1	4.0	21.2	15.0	0	0	0	6	0	
Aae_L014769-PA	L014769-PA	Aae	Aedes aegypti	NULL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	129	2	weak_CPLCP_feature_support	2.3	9.3	9.3	8.5	12.4	8.5	23.8	12.5	0	0	0	4	0	
Aae_L015281-PA	L015281-PA	Aae	Aedes aegypti	NULL	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	129	2	weak_CPLCP_feature_support	2.3	8.5	8.5	7.8	14.0	8.5	20.0	12.5	0	0	0	4	0	
Aae_PC	PC	Aae	Aedes aegypti	CPR RR-2	0.0		no	no_confident_CPLCP_hit	low	no_confident_hit	weak_CPLCP_features_but_no_confident_HMM	104	1	weak_CPLCP_feature_support	3.8	16.3	6.7	4.8	1.9	10.6	30.0	2.5	0	0	0	0	0	
