protein_id	protein_name	species_code	species_name	current_family	CPR_score	CPR_evalue	CPR_confident	RR1_score	RR2_score	delta_RR1_minus_RR2	RR_classifier_prediction	RR_classifier_status	final_prediction	final_status
Aae_L000085-PA	L000085-PA	Aae	Aedes aegypti	NULL	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-A	CPAP1-A	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-B1	CPAP1-B1	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-B2	CPAP1-B2	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-C	CPAP1-C	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-F	CPAP1-F	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-G	CPAP1-G	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-H	CPAP1-H	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-J	CPAP1-J	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-K_iso1	CPAP1-K_iso1	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-K_iso2	CPAP1-K_iso2	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-M	CPAP1-M	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-N	CPAP1-N	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP1-O	CPAP1-O	Aga	Anopheles gambiae	CPAP1	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-A1b	CPAP3-A1b	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-A1c	CPAP3-A1c	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-B	CPAP3-B	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-C	CPAP3-C	Aga	Anopheles gambiae	NULL	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-D1	CPAP3-D1	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-D2_iso1	CPAP3-D2_iso1	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-D2_iso2	CPAP3-D2_iso2	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPAP3-E	CPAP3-E	Aga	Anopheles gambiae	CPAP3	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
Aga_CPF1	CPF1	Aga	Anopheles gambiae	CPF	0.0		no	0.0	0.0	0.0	no_confident_RR_hit	no_confident_hit	not_confident_CPR	not_confident_CPR
