protein_id	protein_name	species_code	species_name	current_family	CPR_score	CPR_evalue	CPR_confident	RR1_score	RR2_score	delta_RR1_minus_RR2	RR_classifier_prediction	RR_classifier_status	final_prediction	final_status
Bmo_CPR129	CPR129	Bmo	Bombyx mori	His-rich CPR RR-2	108.6	6.7e-32	yes	44.6	138.4	-93.8	CPR RR-2	other_family_with_RR_hit	CPR RR-2	CPR_like_review
Bmo_CPR152	CPR152	Bmo	Bombyx mori	His-rich CPR RR-2	46.2	7.9e-13	yes	39.6	78.9	-39.3	CPR RR-2	other_family_with_RR_hit	CPR RR-2	CPR_like_review
Bmo_CPR57	CPR57	Bmo	Bombyx mori	His-rich CPR RR-2	102.6	4.5e-30	yes	43.5	127.2	-83.7	CPR RR-2	other_family_with_RR_hit	CPR RR-2	CPR_like_review
Bmo_CPR82	CPR82	Bmo	Bombyx mori	His-rich CPR RR-2	90.2	2.9e-26	yes	30.5	123.3	-92.8	CPR RR-2	other_family_with_RR_hit	CPR RR-2	CPR_like_review
Lmi_Abd-2	Abd-2	Lmi	Locusta migratoria	RR-1	122.1	5.1e-36	yes	175.6	40.7	134.9	CPR RR-1	other_family_with_RR_hit	CPR RR-1	CPR_like_review
Lmi_Abd-3	Abd-3	Lmi	Locusta migratoria	RR-1	80.2	3.2e-23	yes	132.4	16.4	116.0	CPR RR-1	other_family_with_RR_hit	CPR RR-1	CPR_like_review
Lmi_Abd-4	Abd-4	Lmi	Locusta migratoria	RR-1	116.7	2.2e-34	yes	152.7	40.1	112.6	CPR RR-1	other_family_with_RR_hit	CPR RR-1	CPR_like_review
Lmi_Abd-5	Abd-5	Lmi	Locusta migratoria	RR-1	82.5	6.4e-24	yes	118.4	32.1	86.3	CPR RR-1	other_family_with_RR_hit	CPR RR-1	CPR_like_review
Lmi_Abd-8	Abd-8	Lmi	Locusta migratoria	RR-1	111.0	1.2e-32	yes	165.2	33.2	132.0	CPR RR-1	other_family_with_RR_hit	CPR RR-1	CPR_like_review
Lmi_Abd-9	Abd-9	Lmi	Locusta migratoria	RR-1	91.7	9.8e-27	yes	120.7	29.9	90.8	CPR RR-1	other_family_with_RR_hit	CPR RR-1	CPR_like_review
Lmi_MHSP	MHSP	Lmi	Locusta migratoria	His-rich RR2	39.7	7.9e-11	yes	16.1	81.4	-65.3	CPR RR-2	other_family_with_RR_hit	CPR RR-2	CPR_like_review
Lmi_NCP14.9	NCP14.9	Lmi	Locusta migratoria	RR-3	64.7	1.7e-18	yes	63.9	39.8	24.1	CPR RR-1	other_family_with_RR_hit	CPR RR-1	CPR_like_review
Lmi_flexible_cuticle_protein_12	flexible_cuticle_protein_12	Lmi	Locusta migratoria	RR-1	55.2	1.4e-15	yes	86.7	21.3	65.4	CPR RR-1	other_family_with_RR_hit	CPR RR-1	CPR_like_review
