protein_id	protein_name	species_code	species_name	current_family	CPR_score	CPR_evalue	CPR_confident	RR1_score	RR2_score	delta_RR1_minus_RR2	RR_classifier_prediction	RR_classifier_status	final_prediction	final_status
Aae_CPR100A	CPR100A	Aae	Aedes aegypti	CPR RR-1	64.0	2.8e-18	yes	102.1	18.6	83.5	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aae_PC	PC	Aae	Aedes aegypti	CPR RR-2	108.3	8.1e-32	yes	46.0	135.2	-89.2	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aal_Cp19	Cp19	Aal	Aedes albopictus	CPR RR-2	90.1	2.9e-26	yes	28.6	115.9	-87.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Ace_CPR2	CPR2	Ace	Apis cerana	CPR RR-1	51.1	2.5e-14	yes	69.3	14.0	55.3	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR1	CPR1	Aga	Anopheles gambiae	CPR RR-2	115.4	5.4e-34	yes	43.9	147.6	-103.7	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR10	CPR10	Aga	Anopheles gambiae	CPR RR-2	85.9	6e-25	yes	37.3	112.4	-75.1	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR100	CPR100	Aga	Anopheles gambiae	CPR RR-2	109.6	3.3e-32	yes	42.8	126.1	-83.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR102	CPR102	Aga	Anopheles gambiae	CPR RR-1	72.0	9.9e-21	yes	86.7	36.0	50.7	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR103	CPR103	Aga	Anopheles gambiae	CPR RR-1	66.1	6.3e-19	yes	86.6	31.3	55.3	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR104	CPR104	Aga	Anopheles gambiae	CPR RR-1	78.6	1e-22	yes	90.0	38.1	51.9	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR105	CPR105	Aga	Anopheles gambiae	CPR RR-1	82.2	7.8e-24	yes	98.0	47.9	50.1	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR106	CPR106	Aga	Anopheles gambiae	CPR RR-1	95.8	5.5e-28	yes	131.3	41.0	90.3	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR107	CPR107	Aga	Anopheles gambiae	CPR RR-2	104.6	1.1e-30	yes	47.8	137.7	-89.9	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR108	CPR108	Aga	Anopheles gambiae	CPR RR-2	107.1	1.9e-31	yes	41.2	129.2	-88.0	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR109	CPR109	Aga	Anopheles gambiae	CPR RR-2	109.9	2.6e-32	yes	43.2	126.5	-83.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR11	CPR11	Aga	Anopheles gambiae	CPR RR-1	90.8	1.9e-26	yes	129.8	29.9	99.9	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR110	CPR110	Aga	Anopheles gambiae	CPR RR-2	113.9	1.6e-33	yes	44.8	131.6	-86.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR114	CPR114	Aga	Anopheles gambiae	CPR RR-2	103.5	2.4e-30	yes	54.7	126.4	-71.7	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR115	CPR115	Aga	Anopheles gambiae	CPR RR-2	102.1	6.5e-30	yes	42.9	138.1	-95.2	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR116	CPR116	Aga	Anopheles gambiae	CPR RR-2	106.5	3e-31	yes	44.3	125.7	-81.4	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR117	CPR117	Aga	Anopheles gambiae	CPR RR-2	108.8	5.7e-32	yes	49.2	139.9	-90.7	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR118	CPR118	Aga	Anopheles gambiae	CPR RR-2	103.4	2.6e-30	yes	43.0	138.3	-95.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR119	CPR119	Aga	Anopheles gambiae	CPR RR-2	103.4	2.6e-30	yes	43.0	138.3	-95.3	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR12	CPR12	Aga	Anopheles gambiae	CPR RR-1	101.3	1.2e-29	yes	151.8	32.6	119.2	CPR RR-1	confirmed	CPR RR-1	confirmed_current_CPR_RR
Aga_CPR120	CPR120	Aga	Anopheles gambiae	CPR RR-2	105.1	7.8e-31	yes	44.5	139.5	-95.0	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR121	CPR121	Aga	Anopheles gambiae	CPR RR-2	103.2	3.1e-30	yes	43.2	137.7	-94.5	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR122	CPR122	Aga	Anopheles gambiae	CPR RR-2	107.7	1.2e-31	yes	47.2	135.0	-87.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR123	CPR123	Aga	Anopheles gambiae	CPR RR-2	109.7	3.2e-32	yes	50.1	139.1	-89.0	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
Aga_CPR124	CPR124	Aga	Anopheles gambiae	CPR RR-2	57.4	3e-16	yes	19.4	103.2	-83.8	CPR RR-2	confirmed	CPR RR-2	confirmed_current_CPR_RR
